Gaia20akl
#Date,JD,averagemag.
2014-09-20 06:15:41,2456920.761,untrusted
2014-09-20 08:02:15,2456920.835,untrusted
2014-10-03 05:14:41,2456933.719,untrusted
2014-10-03 09:28:21,2456933.895,untrusted
2014-10-30 23:11:00,2456961.466,18.79
2014-10-31 03:24:40,2456961.642,18.87
2015-01-07 20:57:52,2457030.374,18.90
2015-01-07 22:44:27,2457030.448,18.86
2015-02-09 08:37:55,2457062.860,18.86
2015-03-16 01:59:44,2457097.583,18.89
2015-04-06 09:44:19,2457118.906,null
2015-06-03 08:34:42,2457176.857,18.96
2015-06-03 12:48:20,2457177.034,null
2015-07-14 17:38:04,2457218.235,18.87
2015-07-14 19:24:38,2457218.309,18.91
2015-08-08 01:17:15,2457242.554,null
2015-08-08 05:30:59,2457242.730,null
2015-09-11 16:57:52,2457277.207,18.81
2015-09-11 18:44:26,2457277.281,18.79
2015-10-17 22:33:04,2457313.440,18.84
2015-10-18 00:19:38,2457313.514,18.85
2015-11-13 10:33:57,2457339.940,null
2015-11-13 12:20:11,2457340.014,18.84
2015-12-24 16:09:39,2457381.173,18.91
2016-01-21 23:48:30,2457409.492,18.89
2016-02-20 21:45:04,2457439.406,18.97
2016-02-20 23:31:38,2457439.480,18.89
2016-03-28 02:58:28,2457475.624,null
2016-03-28 04:45:01,2457475.698,18.99
2016-04-16 20:59:11,2457495.374,null
2016-04-16 22:45:57,2457495.449,null
2016-05-28 19:42:36,2457537.321,19.08
2016-06-15 03:32:08,2457554.647,18.96
2016-06-15 07:45:47,2457554.823,19.00
2016-07-25 14:27:51,2457595.103,18.92
2016-08-21 06:29:50,2457621.771,18.92
2016-09-23 00:05:18,2457654.504,18.86
2016-09-23 01:51:52,2457654.578,18.84
2016-10-31 13:26:13,2457693.060,18.80
2016-10-31 17:39:53,2457693.236,18.79
2016-11-26 05:42:33,2457718.738,18.75
2016-11-26 07:29:07,2457718.812,18.76
2017-01-04 23:18:48,2457758.471,18.77
2017-01-05 01:05:22,2457758.545,18.77
2017-02-03 23:04:44,2457788.462,18.88
2017-03-03 12:13:59,2457816.010,18.82
2017-04-10 05:19:22,2457853.722,18.93
2017-04-10 07:05:57,2457853.796,18.86
2017-04-28 11:21:52,2457871.974,18.90
2017-06-09 16:03:55,2457914.169,18.88
2017-06-09 17:50:30,2457914.243,18.86
2017-06-28 10:06:02,2457932.921,null
2017-08-06 15:08:16,2457972.131,18.71
2017-09-04 10:38:52,2458000.944,18.68
2017-10-05 14:35:55,2458032.108,18.66
2017-10-05 16:22:29,2458032.182,18.63
2017-11-14 21:56:52,2458072.414,18.67
2017-11-15 02:10:32,2458072.591,18.60
2017-11-15 03:57:06,2458072.665,18.59
2017-12-10 14:13:36,2458098.093,18.50
2017-12-10 16:00:11,2458098.167,18.52
2018-01-17 01:50:16,2458135.577,null
2018-02-17 13:28:33,2458167.061,18.63
2018-03-14 21:05:44,2458192.379,18.62
2018-04-23 00:17:20,2458231.512,18.68
2018-04-23 02:03:54,2458231.586,18.67
2018-05-10 06:21:19,2458248.765,null
2018-06-21 11:03:43,2458290.961,18.73
2018-06-21 12:50:17,2458291.035,18.74
2018-07-11 18:49:36,2458311.284,18.76
2018-08-18 16:13:34,2458349.176,18.76
2018-09-18 21:53:49,2458380.412,18.76
2018-09-18 23:40:23,2458380.486,18.75
2018-10-18 09:44:29,2458409.906,18.78
2018-11-28 21:19:31,2458451.389,untrusted
2018-11-28 23:06:05,2458451.463,18.80
2018-12-24 21:20:49,2458477.389,18.87
2018-12-24 23:07:24,2458477.463,untrusted
2019-01-28 20:58:38,2458512.374,18.96
2019-01-28 22:45:13,2458512.448,18.94
2019-03-02 22:15:17,2458545.427,18.99
2019-03-26 08:23:26,2458568.850,18.93
2019-05-05 13:15:06,2458609.052,18.94
2019-05-05 15:01:40,2458609.126,19.00
2019-05-22 07:19:15,2458625.805,18.93
2019-07-03 06:04:40,2458667.753,18.92
2019-07-03 07:51:14,2458667.827,18.91
2019-08-02 02:17:42,2458697.596,18.89
2019-08-02 04:04:16,2458697.670,18.92
2019-09-05 21:52:33,2458732.411,18.77
2019-09-29 12:29:06,2458756.020,null
2019-11-08 08:53:23,2458795.870,18.57
2019-11-24 07:33:43,2458811.815,18.56
2019-11-24 09:20:17,2458811.889,18.61
2020-01-02 17:51:39,2458851.244,18.52
2020-01-23 16:50:09,2458872.201,18.50
2020-01-23 18:36:43,2458872.275,18.52
2020-02-27 00:37:37,2458906.526,18.62
2020-02-27 02:24:11,2458906.600,18.60
2020-03-31 08:04:22,2458939.836,18.63
2020-03-31 09:50:57,2458939.910,18.65
2020-04-28 09:00:32,2458967.875,18.60
2020-04-28 10:47:06,2458967.949,18.56

