Gaia20ank
#Date,JD,averagemag.
2014-08-25 17:43:52,2456895.239,19.11
2014-10-08 02:48:11,2456938.617,untrusted
2014-11-08 18:42:02,2456970.279,19.01
2014-11-08 20:28:36,2456970.353,18.98
2014-12-07 12:24:03,2456999.017,untrusted
2015-01-11 11:36:45,2457033.984,19.05
2015-01-11 13:23:35,2457034.058,null
2015-02-02 11:30:29,2457055.980,19.05
2015-02-02 13:17:03,2457056.054,19.05
2015-03-12 06:13:41,2457093.760,19.12
2015-04-02 16:24:17,2457115.184,null
2015-06-07 03:23:24,2457180.641,null
2015-06-07 05:09:35,2457180.715,null
2015-07-11 08:59:55,2457214.875,19.13
2015-08-15 22:26:54,2457250.435,null
2015-09-15 20:30:57,2457281.355,19.19
2015-09-15 22:17:31,2457281.429,19.14
2015-10-21 02:08:37,2457316.589,null
2015-11-22 03:30:08,2457348.646,19.16
2015-12-19 07:28:02,2457375.811,19.19
2016-01-24 00:35:45,2457411.525,19.25
2016-03-23 05:27:58,2457470.728,19.25
2016-03-23 07:14:32,2457470.802,19.23
2016-04-14 11:24:12,2457492.975,null
2016-04-14 13:10:57,2457493.049,null
2016-05-21 12:25:17,2457530.018,19.25
2016-05-21 16:38:57,2457530.194,19.24
2016-06-20 04:25:53,2457559.685,19.27
2016-06-20 06:12:49,2457559.759,null
2016-07-23 11:54:07,2457592.996,null
2016-08-28 23:33:20,2457629.481,19.29
2016-09-28 17:23:50,2457660.225,null
2016-09-28 21:36:58,2457660.401,19.36
2016-12-04 08:44:31,2457726.864,null
2016-12-04 10:30:57,2457726.938,19.44
2016-12-29 20:31:09,2457752.355,19.45
2016-12-29 22:17:43,2457752.429,untrusted
2017-02-04 07:34:40,2457788.816,19.49
2017-02-04 09:21:14,2457788.890,19.47
2017-04-04 03:38:31,2457847.652,19.44
2017-04-04 07:52:12,2457847.828,19.44
2017-04-27 13:46:59,2457871.074,19.41
2017-04-27 15:33:33,2457871.148,19.40
2017-06-03 01:07:16,2457907.547,19.46
2017-06-03 02:53:50,2457907.621,19.40
2017-07-04 06:52:10,2457938.786,19.50
2017-07-04 08:38:44,2457938.860,19.54
2017-08-05 20:24:21,2457971.350,19.48
2017-08-06 00:38:01,2457971.526,19.51
2017-09-11 20:02:55,2458008.335,untrusted
2017-10-12 13:50:40,2458039.077,19.41
2017-10-12 18:04:20,2458039.253,19.33
2017-11-13 17:42:50,2458071.238,19.33
2017-11-13 19:29:24,2458071.312,19.36
2017-12-17 06:53:19,2458104.787,19.43
2017-12-17 11:06:59,2458104.963,19.37
2018-01-10 10:56:09,2458128.956,19.47
2018-01-10 12:42:43,2458129.030,19.44
2018-02-16 11:42:48,2458165.988,19.56
2018-03-09 03:53:27,2458186.662,19.54
2018-04-16 04:41:03,2458224.695,19.48
2018-05-10 20:48:02,2458249.367,null
2018-05-10 22:34:20,2458249.441,19.45
2018-06-15 16:00:19,2458285.167,19.45
2018-06-15 20:13:59,2458285.343,19.36
2018-07-18 13:56:54,2458318.081,19.34
2018-07-18 15:43:28,2458318.155,19.26
2018-08-19 09:31:58,2458349.897,19.37
2018-08-19 13:45:38,2458350.073,19.32
2018-09-25 07:23:28,2458386.808,19.33
2018-09-25 09:10:02,2458386.882,19.37
2018-10-26 08:54:27,2458417.871,19.37
2018-10-26 13:08:06,2458418.047,null
2018-11-25 20:34:35,2458448.357,19.43
2018-12-30 06:06:26,2458482.754,19.38
2019-01-22 01:44:28,2458505.573,19.39
2019-02-28 12:42:16,2458543.029,19.36
2019-03-21 10:53:08,2458563.954,19.44
2019-04-28 09:58:06,2458601.915,19.41
2019-06-28 15:21:04,2458663.140,19.33
2019-07-25 18:52:00,2458690.286,19.28
2019-09-03 07:21:16,2458729.806,null
2019-09-03 09:07:26,2458729.880,null
2019-09-24 15:49:59,2458751.160,19.09
2019-11-26 12:54:08,2458814.038,19.05
2019-12-29 12:40:01,2458847.028,18.93
2019-12-29 14:26:35,2458847.102,18.97
2020-01-30 20:01:57,2458879.335,18.82
2020-01-30 21:48:31,2458879.409,18.79
2020-02-29 15:09:21,2458909.131,18.84
2020-02-29 16:55:55,2458909.205,18.83
2020-04-05 00:26:06,2458944.518,18.76
2020-04-05 04:39:46,2458944.694,18.75

