Gaia20apr
#Date,JD,averagemag.
2014-10-18 01:15:31,2456948.552,untrusted
2014-10-18 03:02:05,2456948.626,untrusted
2014-11-11 20:59:56,2456973.375,19.40
2015-01-18 23:47:26,2457041.491,19.38
2015-01-19 01:34:00,2457041.565,19.34
2015-01-30 17:52:47,2457053.245,19.38
2015-01-30 19:39:21,2457053.319,19.40
2015-03-19 04:08:57,2457100.673,19.31
2015-03-19 05:55:31,2457100.747,19.36
2015-03-19 10:09:12,2457100.923,19.32
2015-03-19 11:55:46,2457100.997,19.31
2015-03-19 16:09:26,2457101.173,19.33
2015-03-23 16:13:04,2457105.176,19.32
2015-03-23 17:59:39,2457105.250,untrusted
2015-03-23 22:13:19,2457105.426,19.37
2015-03-23 23:59:53,2457105.500,19.34
2015-05-07 09:02:14,2457149.877,null
2015-05-07 10:48:59,2457149.951,null
2015-06-01 20:56:13,2457175.372,19.39
2015-06-01 22:42:48,2457175.446,19.45
2015-07-03 02:43:53,2457206.614,untrusted
2015-10-29 14:25:08,2457325.101,null
2015-10-29 16:11:53,2457325.175,null
2015-11-26 09:58:26,2457352.916,19.28
2016-02-01 12:41:59,2457420.029,19.32
2016-02-01 14:28:33,2457420.103,19.29
2016-02-01 18:42:12,2457420.279,19.32
2016-02-09 00:47:23,2457427.533,19.28
2016-02-09 02:33:57,2457427.607,19.23
2016-03-27 11:02:51,2457474.960,19.38
2016-03-27 12:49:25,2457475.034,19.37
2016-04-05 23:09:44,2457484.465,19.39
2016-04-06 00:56:19,2457484.539,19.41
2016-04-06 05:10:00,2457484.715,19.42
2016-05-17 11:55:46,2457525.997,19.45
2016-06-15 21:57:19,2457555.415,19.55
2016-06-15 23:43:54,2457555.489,19.46
2016-07-13 23:41:57,2457583.487,19.49
2016-07-14 03:55:37,2457583.664,19.45
2016-11-08 21:33:56,2457701.399,19.50
2016-11-08 23:20:29,2457701.473,19.50
2016-12-09 10:55:06,2457731.955,19.45
2017-01-01 02:59:25,2457754.625,19.43
2017-01-01 04:45:58,2457754.699,19.36
2017-02-14 10:46:00,2457798.949,19.48
2017-02-14 16:46:14,2457799.199,untrusted
2017-02-14 20:59:54,2457799.375,19.40
2017-02-14 22:46:28,2457799.449,19.43
2017-02-15 03:00:08,2457799.625,19.41
2017-02-15 04:46:42,2457799.699,19.46
2017-02-15 09:00:22,2457799.875,untrusted
2017-02-15 10:46:56,2457799.949,19.40
2017-02-15 15:00:35,2457800.125,19.35
2017-02-15 16:47:10,2457800.199,19.39
2017-02-15 21:00:49,2457800.376,19.41
2017-02-15 22:47:23,2457800.450,19.42
2017-02-16 03:01:03,2457800.626,19.43
2017-02-16 04:47:37,2457800.700,19.45
2017-02-16 09:01:17,2457800.876,19.37
2017-02-16 10:47:51,2457800.950,19.41
2017-02-16 15:01:31,2457801.126,19.41
2017-02-16 16:48:05,2457801.200,19.41
2017-04-06 03:08:50,2457849.631,19.49
2017-04-06 07:22:30,2457849.807,untrusted
2017-04-20 01:29:13,2457863.562,19.48
2017-04-20 03:15:47,2457863.636,untrusted
2017-05-29 00:40:36,2457902.528,19.52
2017-07-01 12:23:00,2457936.016,19.49
2017-07-01 14:09:53,2457936.090,null
2017-07-26 00:29:49,2457960.521,19.42
2017-07-26 02:16:23,2457960.595,19.41
2017-09-25 06:24:09,2458021.767,null
2017-09-25 08:10:54,2458021.841,null
2017-09-25 12:24:39,2458022.017,null
2017-09-25 14:10:49,2458022.091,null
2017-09-25 18:24:33,2458022.267,null
2017-09-25 20:11:18,2458022.341,null
2017-10-10 06:34:03,2458036.774,19.41
2017-10-10 08:20:37,2458036.848,19.46
2017-10-10 12:34:17,2458037.024,19.45
2017-10-10 14:20:51,2458037.098,19.45
2017-11-20 06:04:47,2458077.753,untrusted
2017-11-20 07:51:21,2458077.827,19.50
2017-12-23 05:26:41,2458110.727,19.32
2017-12-23 07:13:15,2458110.801,19.45
2018-01-11 11:24:09,2458129.975,19.43
2018-04-16 08:22:33,2458224.849,untrusted
2018-04-16 10:09:08,2458224.923,19.33
2018-06-09 13:50:46,2458279.077,null
2018-06-09 15:36:57,2458279.151,19.35
2018-07-18 07:29:44,2458317.812,null
2018-07-18 09:16:11,2458317.886,19.31
2018-07-18 13:29:52,2458318.062,19.35
2018-07-18 15:16:27,2458318.136,19.37
2018-08-06 15:27:46,2458337.144,19.31
2018-08-06 19:41:27,2458337.320,19.35
2018-08-06 21:28:01,2458337.394,19.34
2018-08-07 01:41:51,2458337.571,null
2018-10-06 19:34:14,2458398.315,19.22
2018-10-06 21:20:48,2458398.389,19.25
2018-10-27 15:27:06,2458419.144,19.28
2018-10-27 19:40:45,2458419.320,19.26
2018-12-01 07:12:13,2458453.800,19.23
2018-12-01 08:59:11,2458453.874,null
2019-01-05 18:21:32,2458489.265,19.28
2019-01-05 20:08:05,2458489.339,19.30
2019-01-21 06:23:57,2458504.767,19.29
2019-01-21 08:10:30,2458504.841,19.21
2019-04-26 21:25:31,2458600.393,19.33
2019-05-18 15:25:22,2458622.143,19.30
2019-06-21 09:01:05,2458655.876,19.28
2019-06-21 10:47:40,2458655.950,19.29
2019-07-24 22:38:07,2458689.443,19.21
2019-10-30 16:39:19,2458787.194,19.00
2019-10-30 18:25:53,2458787.268,19.00
2019-11-20 23:20:53,2458808.473,18.95
2019-12-22 18:46:22,2458840.282,18.97
2020-02-04 16:17:26,2458884.179,18.98
2020-02-04 20:31:05,2458884.355,18.98
2020-02-04 22:17:39,2458884.429,18.99
2020-02-05 02:31:18,2458884.605,18.93
2020-02-05 04:17:58,2458884.679,null
2020-02-05 08:31:32,2458884.855,18.94
2020-02-05 10:18:06,2458884.929,18.91
2020-02-05 14:31:46,2458885.105,18.91
2020-02-14 02:40:20,2458893.611,18.94
2020-02-14 08:40:34,2458893.862,18.92
2020-02-14 10:27:08,2458893.936,18.89
2020-02-14 14:40:47,2458894.112,18.93
2020-02-14 16:27:22,2458894.186,18.94
2020-02-14 20:41:01,2458894.362,18.93
2020-02-14 22:27:35,2458894.436,18.96
2020-02-15 04:27:49,2458894.686,18.96
2020-04-14 22:44:15,2458954.447,18.84
2020-04-15 00:30:53,2458954.521,null
2020-05-10 17:35:14,2458980.233,18.86

