Gaia20ars
#Date,JD,averagemag.
2014-08-23 20:43:33,2456893.364,18.46
2014-08-23 22:30:08,2456893.438,18.46
2014-08-24 02:43:49,2456893.614,18.50
2014-08-24 04:30:24,2456893.688,18.44
2014-08-24 08:44:05,2456893.864,18.51
2015-01-23 14:31:03,2457046.105,null
2015-02-11 06:44:23,2457064.781,18.42
2015-02-11 08:30:57,2457064.855,18.40
2015-06-29 19:45:32,2457203.323,18.37
2015-08-03 19:21:58,2457238.307,null
2015-08-03 21:08:44,2457238.381,null
2015-08-19 19:30:41,2457254.313,18.47
2015-08-19 21:17:16,2457254.387,18.43
2016-01-03 14:21:40,2457391.098,null
2016-01-03 16:08:25,2457391.173,null
2016-02-08 03:26:42,2457426.644,18.30
2016-02-08 07:40:21,2457426.820,18.30
2016-02-08 09:26:54,2457426.894,18.31
2016-02-18 19:46:16,2457437.324,18.28
2016-02-18 21:32:50,2457437.398,18.29
2016-02-19 01:46:29,2457437.574,18.33
2016-02-19 03:33:03,2457437.648,18.26
2016-05-21 23:04:50,2457530.462,18.30
2016-05-22 03:18:31,2457530.638,18.30
2016-05-22 05:05:06,2457530.712,18.31
2016-05-22 09:18:47,2457530.888,18.27
2016-05-31 21:26:58,2457540.394,untrusted
2016-05-31 23:13:33,2457540.468,18.29
2016-07-09 20:57:27,2457579.373,18.37
2016-11-26 04:01:14,2457718.668,18.58
2016-11-26 05:47:48,2457718.742,18.59
2016-11-26 10:01:27,2457718.918,18.64
2016-11-26 11:48:01,2457718.992,18.59
2016-12-10 11:52:52,2457732.995,18.66
2016-12-10 16:06:31,2457733.171,18.62
2017-01-12 23:16:11,2457766.470,18.68
2017-05-29 17:44:32,2457903.239,null
2017-05-29 19:30:42,2457903.313,18.76
2017-05-29 23:44:23,2457903.489,18.77
2017-06-17 23:51:26,2457922.494,18.79
2017-07-20 19:18:11,2457955.304,18.77
2017-07-20 23:31:52,2457955.480,18.79
2017-12-04 18:27:44,2458092.269,18.60
2017-12-04 20:14:17,2458092.343,18.63
2017-12-25 18:24:19,2458113.267,18.51
2018-01-23 06:00:11,2458141.750,18.60
2018-01-23 07:46:45,2458141.824,18.57
2018-06-08 12:52:16,2458278.036,18.63
2018-06-08 14:38:51,2458278.110,18.68
2018-07-03 12:50:51,2458303.035,18.63
2018-07-03 14:37:26,2458303.109,18.61
2018-07-31 14:29:20,2458331.104,18.57
2018-07-31 18:43:02,2458331.280,18.59
2018-12-14 09:20:41,2458466.889,18.59
2019-01-09 07:18:26,2458492.804,18.65
2019-02-02 07:07:28,2458516.797,18.73
2019-02-02 08:54:02,2458516.871,18.72
2019-06-19 02:02:36,2458653.585,18.72
2019-06-19 03:49:10,2458653.659,18.69
2019-08-06 12:03:50,2458702.003,18.92
2020-01-17 20:49:23,2458866.368,19.25
2020-02-07 21:27:38,2458887.394,19.37
2020-02-07 23:14:11,2458887.468,19.25

