Gaia20auc
#Date,JD,averagemag.
2014-08-08 22:46:49,2456878.449,null
2014-08-09 03:00:35,2456878.625,null
2014-08-09 04:46:46,2456878.699,null
2014-08-09 09:00:32,2456878.875,null
2014-08-09 10:47:17,2456878.950,null
2014-08-09 15:01:03,2456879.126,null
2014-10-28 13:18:44,2456959.055,null
2014-10-28 15:05:29,2456959.129,null
2014-10-28 19:19:13,2456959.305,null
2014-10-28 21:05:58,2456959.379,null
2014-10-29 01:19:42,2456959.555,null
2014-10-29 03:05:52,2456959.629,null
2014-11-05 15:12:07,2456967.133,null
2014-11-05 19:25:16,2456967.309,null
2014-11-05 21:12:01,2456967.383,null
2014-11-06 01:25:45,2456967.560,null
2014-11-06 03:12:30,2456967.634,null
2014-11-06 07:25:39,2456967.809,null
2015-01-19 18:08:35,2457042.256,null
2015-01-19 19:55:20,2457042.330,null
2015-02-04 06:11:11,2457057.758,null
2015-02-04 07:57:55,2457057.832,null
2015-05-28 02:54:17,2457170.621,null
2015-05-28 04:41:03,2457170.695,null
2015-07-02 22:09:25,2457206.423,null
2015-07-03 02:22:36,2457206.599,null
2015-08-17 20:03:11,2457252.336,null
2015-08-18 02:03:42,2457252.586,null
2015-08-18 03:50:27,2457252.660,null
2015-08-18 08:03:38,2457252.836,null
2015-08-18 09:50:23,2457252.910,null
2015-08-18 14:04:09,2457253.086,null
2015-08-18 15:50:55,2457253.160,null
2015-08-18 20:04:40,2457253.337,null
2015-08-18 21:50:51,2457253.410,null
2015-08-19 02:04:36,2457253.587,null
2015-08-19 03:51:22,2457253.661,null
2015-08-19 08:05:07,2457253.837,null
2015-08-19 09:51:18,2457253.911,null
2015-08-19 14:05:03,2457254.087,null
2015-08-19 15:51:49,2457254.161,null
2015-08-19 20:05:34,2457254.337,null
2015-08-19 21:51:45,2457254.411,null
2015-08-20 02:05:30,2457254.587,null
2015-08-20 03:52:16,2457254.661,null
2015-08-20 08:06:01,2457254.838,null
2015-08-20 09:52:47,2457254.912,null
2015-08-20 14:05:58,2457255.087,null
2015-08-20 15:52:43,2457255.162,null
2015-08-20 20:06:29,2457255.338,null
2015-08-20 21:53:14,2457255.412,null
2015-08-21 02:07:00,2457255.588,null
2015-08-21 03:53:10,2457255.662,null
2015-08-21 08:06:56,2457255.838,null
2015-08-21 14:07:26,2457256.088,null
2015-11-05 08:25:16,2457331.851,null
2015-11-05 10:11:25,2457331.925,null
2015-11-24 04:16:47,2457350.678,null
2015-11-24 08:30:31,2457350.855,null
2016-02-03 01:03:20,2457421.544,null
2016-02-03 02:50:04,2457421.618,null
2016-02-12 20:55:19,2457431.372,null
2016-02-13 01:09:03,2457431.548,null
2016-02-13 02:55:48,2457431.622,null
2016-05-19 21:52:11,2457528.411,null
2016-05-19 23:38:56,2457528.485,null
2016-06-11 03:53:04,2457550.662,null
2016-07-13 11:20:39,2457582.973,null
2016-11-14 11:19:48,2457706.972,null
2016-11-14 15:33:32,2457707.148,null
2016-12-08 11:15:35,2457730.969,null
2017-05-30 12:21:42,2457904.015,null
2017-05-30 14:07:52,2457904.089,null
2017-06-26 02:01:34,2457930.584,null
2017-07-24 19:55:16,2457959.330,null
2017-07-25 00:08:27,2457959.506,null
2017-11-25 06:04:58,2458082.753,null
2017-12-22 23:48:20,2458110.492,null
2018-01-16 01:21:50,2458134.557,null
2018-04-25 04:09:51,2458233.674,null
2018-04-25 10:10:22,2458233.924,null
2018-04-25 16:10:18,2458234.174,null
2018-04-25 22:10:49,2458234.424,null
2018-04-26 04:10:45,2458234.674,null
2018-06-10 13:30:05,2458280.063,null
2018-07-11 13:15:51,2458311.053,null
2018-07-11 15:02:37,2458311.127,null
2018-08-05 01:20:10,2458335.556,null
2018-08-05 03:06:55,2458335.630,null
2018-12-06 01:13:55,2458458.551,null
2019-01-06 00:42:52,2458489.530,null
2019-01-26 00:39:10,2458509.527,null
2019-01-26 02:25:20,2458509.601,null
2019-05-01 17:03:12,2458605.211,null
2019-05-01 21:16:58,2458605.387,null
2019-05-13 09:24:36,2458616.892,null
2019-05-13 11:11:22,2458616.966,null
2019-06-21 20:40:13,2458656.361,null
2019-07-29 22:32:38,2458694.439,null
2019-11-04 10:58:00,2458791.957,null
2019-11-04 12:44:44,2458792.031,null
2019-11-16 00:59:07,2458803.541,null
2019-11-16 05:12:16,2458803.717,null
2019-12-23 01:08:12,2458840.547,null
2019-12-23 02:54:56,2458840.621,null
2020-01-26 08:36:34,2458874.859,null
2020-01-26 10:23:18,2458874.933,null
2020-01-26 14:36:27,2458875.109,null
2020-02-12 02:58:01,2458891.624,null
2020-02-12 04:44:35,2458891.698,18.80
2020-02-12 08:58:14,2458891.874,18.85
2020-02-12 10:44:48,2458891.948,18.85

