Gaia20axs
#Date,JD,averagemag.
2014-10-15 00:39:03,2456945.527,untrusted
2014-11-22 22:06:11,2456984.421,20.67
2014-11-22 23:52:46,2456984.495,untrusted
2014-12-01 10:13:07,2456992.926,untrusted
2014-12-01 11:59:41,2456993.000,untrusted
2014-12-01 16:13:22,2456993.176,untrusted
2015-03-05 18:41:00,2457087.278,19.95
2015-03-26 00:37:55,2457107.526,null
2015-04-26 18:08:42,2457139.256,null
2015-04-26 19:55:27,2457139.330,null
2015-09-02 12:13:37,2457268.009,20.60
2015-09-02 14:00:15,2457268.084,null
2015-10-25 19:49:33,2457321.326,null
2016-03-14 15:31:33,2457462.147,null
2016-04-08 15:19:23,2457487.138,20.62
2016-05-06 21:04:19,2457515.378,20.71
2016-09-12 07:25:24,2457643.809,null
2016-09-12 09:11:30,2457643.883,20.45
2016-11-04 07:11:00,2457696.799,untrusted
2017-03-25 04:13:45,2457837.676,null
2017-03-25 05:59:56,2457837.750,20.57
2017-04-23 15:52:00,2457867.161,null
2017-04-23 17:38:16,2457867.235,untrusted
2017-05-17 15:49:21,2457891.159,untrusted
2017-05-17 17:36:10,2457891.233,null
2017-09-23 09:59:38,2458019.916,null
2017-10-24 17:25:14,2458051.226,20.77
2017-11-14 05:26:17,2458071.727,20.77
2018-02-16 12:11:42,2458166.008,null
2018-02-16 13:57:50,2458166.082,untrusted
2018-04-04 23:20:36,2458213.473,21.14
2018-04-05 01:07:35,2458213.547,null
2018-05-09 18:37:15,2458248.276,untrusted
2018-05-09 22:50:53,2458248.452,null
2018-05-27 16:57:47,2458266.207,null
2018-05-27 18:44:32,2458266.281,null
2018-10-04 11:10:35,2458395.966,untrusted
2018-11-08 04:36:43,2458430.692,19.57
2018-11-08 06:23:17,2458430.766,19.58
2018-11-23 12:29:34,2458446.021,19.26
2018-11-23 16:43:15,2458446.197,untrusted
2019-02-24 13:08:17,2458539.047,19.68
2019-02-24 14:54:50,2458539.121,19.78
2019-03-11 14:58:22,2458554.124,19.84
2019-03-11 19:12:01,2458554.300,19.79
2019-04-16 00:28:46,2458589.520,19.79
2019-04-16 02:15:20,2458589.594,19.87
2019-08-29 23:00:12,2458725.458,19.71
2019-08-30 00:46:47,2458725.532,19.60
2019-09-14 23:26:54,2458741.477,untrusted
2019-09-15 01:13:52,2458741.551,null
2019-10-20 03:02:10,2458776.627,19.31
2020-02-20 05:11:29,2458899.716,18.37
2020-02-20 06:58:03,2458899.790,18.38
2020-02-20 11:11:42,2458899.966,18.40
2020-02-20 12:58:16,2458900.040,18.38
2020-03-08 13:21:07,2458917.056,18.69
2020-03-08 17:34:46,2458917.232,18.73
2020-04-11 20:47:57,2458951.367,19.33

