Gaia20bbn
#Date,JD,averagemag.
2014-09-16 11:24:24,2456916.975,untrusted
2014-09-16 13:10:58,2456917.049,untrusted
2014-10-20 20:32:53,2456951.356,untrusted
2014-10-20 22:19:27,2456951.430,untrusted
2015-02-24 14:50:46,2457078.119,15.85
2015-02-24 16:37:21,2457078.193,15.85
2015-03-19 20:51:41,2457101.369,15.84
2015-03-19 22:38:16,2457101.443,15.80
2015-04-17 04:25:50,2457129.685,15.81
2015-09-09 05:53:33,2457274.746,15.91
2015-10-05 05:40:06,2457300.736,15.89
2015-10-31 09:41:25,2457326.904,15.88
2015-10-31 11:27:59,2457326.978,15.84
2016-03-05 17:47:45,2457453.241,15.87
2016-04-02 15:50:38,2457481.160,15.88
2016-04-02 17:37:13,2457481.234,15.88
2016-04-26 15:48:20,2457505.159,15.88
2016-09-18 19:00:39,2457650.292,null
2016-10-19 06:35:48,2457680.775,null
2016-11-09 04:49:24,2457701.701,null
2016-11-09 06:35:34,2457701.775,null
2017-03-16 06:35:21,2457828.775,null
2017-03-16 08:22:06,2457828.849,null
2017-04-17 18:12:03,2457861.258,null
2017-05-06 08:04:14,2457879.836,null
2017-05-06 12:17:25,2457880.012,null
2017-08-14 08:31:36,2457979.855,null
2017-08-14 10:18:20,2457979.929,null
2017-08-14 14:31:29,2457980.105,null
2017-08-14 16:18:14,2457980.179,null
2017-08-14 20:31:58,2457980.356,null
2017-08-14 22:18:42,2457980.430,null
2017-08-15 04:18:36,2457980.680,null
2017-08-18 10:21:17,2457983.931,null
2017-08-18 14:35:01,2457984.108,null
2017-08-18 16:21:45,2457984.182,null
2017-08-18 20:34:54,2457984.358,null
2017-08-18 22:21:39,2457984.432,null
2017-08-19 02:35:23,2457984.608,null
2017-09-29 13:44:51,2458026.073,null
2017-09-29 15:31:01,2458026.147,null
2017-11-04 08:56:17,2458061.872,15.78
2017-11-04 13:09:56,2458062.049,15.80
2017-11-17 07:16:36,2458074.803,15.81
2017-11-17 09:03:10,2458074.877,15.81
2017-11-17 13:16:49,2458075.053,15.80
2017-11-17 15:03:53,2458075.128,null
2018-02-11 03:56:17,2458160.664,15.88
2018-02-11 09:56:33,2458160.914,15.82
2018-02-11 15:56:49,2458161.164,15.84
2018-02-11 20:10:30,2458161.341,untrusted
2018-02-11 21:57:05,2458161.415,15.85
2018-02-12 02:10:46,2458161.591,15.83
2018-02-12 03:57:21,2458161.665,15.82
2018-02-12 08:11:02,2458161.841,15.82
2018-02-12 09:57:36,2458161.915,15.84
2018-02-12 14:11:18,2458162.091,15.83
2018-02-12 15:57:52,2458162.165,15.83
2018-02-12 20:11:34,2458162.341,15.86
2018-02-12 21:58:08,2458162.415,15.86
2018-02-13 03:58:24,2458162.666,15.83
2018-03-27 01:46:31,2458204.574,15.86
2018-03-27 03:33:06,2458204.648,15.85
2018-05-03 07:11:03,2458241.799,untrusted
2018-05-03 08:57:38,2458241.873,15.83
2018-05-14 21:06:00,2458253.379,15.85
2018-05-15 01:19:41,2458253.555,15.85
2018-05-15 03:06:16,2458253.629,15.85
2018-08-21 03:27:51,2458351.644,15.85
2018-08-21 05:14:25,2458351.718,15.87
2018-09-05 05:18:59,2458366.722,15.80
2018-09-05 09:32:38,2458366.898,15.79
2018-10-10 08:52:48,2458401.870,15.88
2018-10-10 10:39:21,2458401.944,15.87
2019-02-15 16:57:18,2458530.206,15.84
2019-02-15 21:10:59,2458530.383,15.79
2019-03-04 15:19:34,2458547.139,15.75
2019-03-04 17:06:09,2458547.213,untrusted
2019-04-06 20:58:00,2458580.374,null
2019-08-20 14:39:52,2458716.111,15.85
2019-08-20 16:26:25,2458716.185,15.83
2019-09-07 21:05:14,2458734.379,untrusted
2019-09-07 22:51:48,2458734.453,15.82
2020-02-26 13:26:10,2458906.060,15.56
2020-02-26 15:12:45,2458906.134,15.54
2020-04-17 17:18:45,2458957.221,15.81
2020-04-17 21:32:27,2458957.398,15.78

