Gaia20bcs
#Date,JD,averagemag.
2014-09-18 11:23:25,2456918.975,untrusted
2014-09-18 13:09:59,2456919.049,untrusted
2014-10-22 14:30:13,2456953.104,untrusted
2014-10-22 16:16:47,2456953.178,untrusted
2015-02-26 10:31:48,2457079.939,null
2015-02-26 14:44:59,2457080.115,null
2015-02-26 16:31:45,2457080.189,null
2015-03-17 14:52:09,2457099.120,18.05
2015-03-17 16:38:44,2457099.194,18.07
2015-04-18 14:33:22,2457131.107,null
2015-04-18 16:19:33,2457131.180,null
2015-09-11 11:53:37,2457276.996,null
2015-10-03 23:47:36,2457299.491,20.22
2015-11-02 09:38:58,2457328.902,19.57
2016-03-07 03:54:51,2457454.663,null
2016-03-07 05:40:57,2457454.737,untrusted
2016-03-31 21:52:25,2457479.411,20.03
2016-03-31 23:39:00,2457479.485,20.26
2016-04-28 09:43:11,2457506.905,null
2016-09-20 17:12:41,2457652.217,18.75
2016-09-20 18:59:15,2457652.291,18.76
2016-10-17 22:56:09,2457679.456,null
2016-11-11 16:47:19,2457704.200,19.68
2016-11-11 18:33:52,2457704.274,19.66
2017-03-17 12:27:45,2457830.019,20.19
2017-03-17 14:14:20,2457830.093,20.26
2017-05-08 14:00:19,2457882.084,null
2017-05-08 18:14:05,2457882.260,null
2017-10-01 07:42:19,2458027.821,20.14
2017-10-01 09:28:53,2458027.895,untrusted
2017-11-02 01:14:39,2458059.552,null
2017-11-02 03:01:23,2458059.626,null
2017-11-21 03:03:33,2458078.627,20.31
2017-11-21 07:17:12,2458078.804,20.36
2017-11-21 09:03:46,2458078.878,untrusted
2018-03-28 07:39:18,2458205.819,untrusted
2018-05-18 07:19:52,2458256.805,null
2018-05-18 09:05:56,2458256.879,20.59
2018-08-24 21:33:31,2458355.398,null
2018-08-24 23:19:40,2458355.472,20.55
2018-08-25 03:33:25,2458355.648,null
2018-08-25 05:19:53,2458355.722,20.56
2018-09-03 05:25:34,2458364.726,null
2018-09-03 09:39:13,2458364.902,20.56
2018-09-03 11:26:02,2458364.976,null
2018-10-12 02:50:21,2458403.618,20.32
2018-10-12 04:37:14,2458403.693,null
2018-11-18 20:14:27,2458441.343,20.73
2018-11-18 22:01:01,2458441.417,20.28
2018-11-19 02:14:54,2458441.594,null
2018-11-19 04:01:14,2458441.668,20.61
2018-11-28 08:20:57,2458450.848,20.41
2018-11-28 10:07:31,2458450.922,20.59
2018-11-28 14:21:10,2458451.098,untrusted
2018-11-28 16:07:44,2458451.172,20.46
2019-02-19 10:55:05,2458533.955,null
2019-02-19 15:08:21,2458534.131,20.60
2019-02-19 16:54:55,2458534.205,20.71
2019-02-19 21:08:36,2458534.381,20.78
2019-02-28 15:16:40,2458543.137,null
2019-02-28 17:02:59,2458543.210,20.70
2019-02-28 21:16:40,2458543.387,20.43
2019-02-28 23:03:15,2458543.461,20.69
2019-04-08 02:50:41,2458581.619,untrusted
2019-05-16 20:12:06,2458620.342,20.60
2019-05-16 21:58:41,2458620.416,20.47
2019-05-17 02:12:22,2458620.592,untrusted
2019-05-17 03:58:56,2458620.666,20.62
2019-05-26 10:06:34,2458629.921,untrusted
2019-05-26 14:20:15,2458630.097,untrusted
2019-05-26 16:06:50,2458630.171,20.50
2019-08-24 08:50:15,2458719.868,null
2019-08-24 10:36:25,2458719.942,null
2019-08-24 14:50:01,2458720.118,20.41
2019-08-24 16:36:35,2458720.192,untrusted
2019-09-03 22:47:12,2458730.449,18.72
2019-09-04 03:01:19,2458730.626,null
2019-09-04 04:47:29,2458730.700,null
2019-09-04 09:01:03,2458730.876,18.64
2019-11-19 12:31:08,2458807.022,null
2019-11-19 14:17:44,2458807.096,20.50
2019-11-19 18:31:23,2458807.272,20.34
2019-11-27 18:39:47,2458815.278,20.21
2019-11-27 20:26:21,2458815.352,20.50
2019-11-28 00:40:00,2458815.528,20.44
2019-11-28 02:26:34,2458815.602,20.22
2020-02-29 03:15:56,2458908.636,18.11
2020-02-29 07:29:37,2458908.812,18.23
2020-03-17 08:00:02,2458925.833,20.08
2020-03-17 09:46:37,2458925.907,20.04
2020-04-19 15:38:25,2458959.152,20.58

