Gaia20bdy
#Date,JD,averagemag.
2014-09-22 20:26:30,2456923.352,untrusted
2014-09-22 22:13:04,2456923.426,untrusted
2014-10-26 23:35:59,2456957.483,untrusted
2014-12-02 17:12:14,2456994.217,untrusted
2015-02-26 11:38:46,2457079.985,null
2015-02-26 13:25:31,2457080.059,null
2015-02-26 17:38:40,2457080.235,null
2015-02-26 19:25:25,2457080.309,null
2015-03-11 01:32:55,2457092.565,17.48
2015-03-11 05:46:34,2457092.741,17.34
2015-03-11 07:33:08,2457092.815,17.52
2015-03-11 11:46:47,2457092.991,17.58
2015-05-25 22:27:24,2457168.436,null
2015-05-26 00:13:34,2457168.509,null
2015-06-09 04:32:24,2457182.689,null
2015-06-09 06:19:08,2457182.763,null
2015-09-16 01:10:52,2457281.549,17.55
2015-10-04 13:15:15,2457300.052,17.58
2015-10-04 15:01:49,2457300.126,17.45
2015-11-06 20:33:16,2457333.356,17.51
2016-03-06 08:32:04,2457453.856,17.56
2016-03-06 12:45:43,2457454.032,17.56
2016-03-06 14:32:17,2457454.106,17.44
2016-03-27 06:48:46,2457474.784,17.58
2016-03-27 08:35:19,2457474.858,17.42
2016-04-28 18:22:24,2457507.266,17.46
2016-04-28 20:08:58,2457507.340,17.47
2016-06-09 17:23:24,2457549.225,null
2016-06-09 19:09:28,2457549.298,untrusted
2016-06-09 23:23:07,2457549.474,17.53
2016-06-16 05:27:48,2457555.728,17.47
2016-06-16 07:14:22,2457555.802,17.64
2016-06-16 11:28:01,2457555.978,17.62
2016-06-16 13:14:35,2457556.052,untrusted
2016-09-25 02:16:04,2457656.594,null
2016-09-25 04:02:20,2457656.668,17.54
2016-10-18 02:14:03,2457679.593,null
2016-11-16 15:44:22,2457709.156,15.30
2016-11-16 19:58:03,2457709.332,15.24
2017-03-16 21:17:00,2457829.387,17.46
2017-03-16 23:03:33,2457829.461,untrusted
2017-04-11 15:09:14,2457855.131,17.38
2017-04-11 16:55:48,2457855.205,17.25
2017-05-09 14:51:36,2457883.119,17.30
2017-05-09 16:38:10,2457883.193,17.47
2017-10-05 12:32:01,2458032.022,17.22
2017-10-05 16:45:42,2458032.198,17.14
2017-11-01 12:22:11,2458059.015,null
2017-11-27 10:31:38,2458084.939,17.37
2017-11-27 12:18:12,2458085.013,17.48
2018-03-27 16:26:00,2458205.185,17.40
2018-03-27 18:12:34,2458205.259,17.39
2018-04-26 11:51:51,2458234.994,15.46
2018-05-20 09:57:03,2458258.915,17.25
2018-05-20 11:43:37,2458258.989,17.41
2018-08-29 20:28:16,2458360.353,17.33
2018-08-30 00:41:57,2458360.529,17.47
2018-08-30 02:28:32,2458360.603,17.33
2018-08-30 06:42:12,2458360.779,17.32
2018-08-30 08:28:47,2458360.853,17.29
2018-09-03 18:46:31,2458365.282,null
2018-09-03 20:33:17,2458365.356,null
2018-09-04 00:46:45,2458365.532,17.35
2018-09-04 02:33:19,2458365.606,17.44
2018-09-04 06:47:00,2458365.783,17.41
2018-09-04 08:33:35,2458365.857,17.65
2018-10-16 07:41:04,2458407.820,17.42
2018-11-16 11:36:16,2458438.984,17.34
2018-11-16 13:22:50,2458439.058,17.47
2018-12-07 17:42:18,2458460.238,17.52
2018-12-07 19:28:52,2458460.312,17.37
2019-04-07 17:34:53,2458581.233,17.69
2019-04-07 19:21:27,2458581.307,17.50
2019-05-11 06:47:07,2458614.783,16.12
2019-05-30 17:00:32,2458634.209,null
2019-05-30 18:47:17,2458634.283,null
2019-10-12 01:54:04,2458768.579,untrusted
2019-11-13 23:18:57,2458801.471,17.35
2019-12-02 04:07:30,2458819.672,untrusted
2019-12-02 05:54:04,2458819.746,untrusted
2020-03-04 16:32:36,2458913.189,15.15
2020-03-04 18:19:09,2458913.263,15.17
2020-03-17 22:50:24,2458926.452,17.31
2020-03-18 00:36:57,2458926.526,17.25
2020-04-24 00:40:53,2458963.528,untrusted

