Gaia20beb
#Date,JD,averagemag.
2014-11-27 22:39:22,2456989.444,null
2014-11-28 00:25:33,2456989.518,null
2015-03-06 12:14:00,2457088.010,null
2015-03-06 14:00:45,2457088.084,null
2015-03-06 18:14:28,2457088.260,null
2015-03-06 20:01:13,2457088.334,null
2015-03-17 20:06:48,2457099.338,null
2015-03-18 00:20:32,2457099.514,null
2015-04-23 11:41:11,2457135.987,null
2015-04-23 13:27:55,2457136.061,null
2015-09-12 08:24:51,2457277.851,null
2015-09-12 12:38:37,2457278.027,null
2015-09-28 12:46:56,2457294.033,null
2015-09-28 14:33:06,2457294.106,null
2015-11-01 02:08:37,2457327.589,null
2016-03-13 13:16:39,2457461.053,null
2016-03-13 15:03:24,2457461.127,null
2016-04-01 21:03:50,2457480.378,null
2016-04-02 01:17:34,2457480.554,null
2016-05-03 06:49:52,2457511.785,null
2016-05-03 08:36:02,2457511.858,null
2016-09-20 13:45:12,2457652.073,null
2016-09-20 15:31:57,2457652.147,null
2016-10-13 01:46:35,2457674.574,null
2016-10-13 03:32:46,2457674.648,null
2016-11-10 09:19:48,2457702.889,null
2016-11-10 13:33:00,2457703.065,null
2017-04-17 03:34:49,2457860.649,null
2017-05-13 21:20:25,2457887.389,null
2017-05-13 23:07:09,2457887.463,null
2017-09-30 16:17:26,2458027.179,null
2017-10-27 22:07:34,2458054.422,null
2017-10-27 23:54:19,2458054.496,null
2017-11-20 10:05:18,2458077.920,null
2017-11-20 11:52:03,2458077.994,null
2018-04-02 06:39:34,2458210.777,null
2018-05-02 06:15:59,2458240.761,null
2018-05-23 22:27:18,2458262.436,null
2018-05-24 00:13:28,2458262.509,null
2018-10-11 01:14:12,2458402.552,null
2018-10-11 05:27:58,2458402.728,null
2018-11-29 12:59:13,2458452.041,null
2018-11-29 17:13:00,2458452.217,null
2019-04-13 00:01:33,2458586.501,null
2019-04-13 01:47:42,2458586.575,null
2019-05-18 01:11:55,2458621.550,null
2019-05-18 05:25:04,2458621.726,null
2019-06-01 23:31:15,2458636.480,null
2019-06-02 01:18:00,2458636.554,null
2019-10-17 03:24:33,2458773.642,null
2019-11-20 15:20:48,2458808.139,null
2019-11-20 17:07:33,2458808.214,null
2019-12-03 23:27:27,2458821.477,null
2019-12-04 03:41:13,2458821.654,null
2019-12-04 05:27:24,2458821.727,null
2020-03-04 11:03:18,2458912.961,18.73
2020-03-04 12:49:51,2458913.035,18.77
2020-03-04 17:03:30,2458913.211,18.66
2020-03-04 18:50:04,2458913.285,18.74
2020-03-04 23:03:43,2458913.461,18.74
2020-03-05 00:50:17,2458913.535,18.77
2020-03-05 06:50:30,2458913.785,18.75
2020-03-08 12:53:23,2458917.037,18.79
2020-03-08 17:07:02,2458917.213,18.78
2020-03-08 18:53:36,2458917.287,18.80
2020-03-08 23:07:15,2458917.463,18.72
2020-03-09 00:53:49,2458917.537,18.76
2020-03-09 05:07:27,2458917.714,18.77

