Gaia20bel
#Date,JD,averagemag.
2014-09-20 17:15:18,2456921.219,untrusted
2014-09-20 19:01:52,2456921.293,untrusted
2014-10-23 16:05:53,2456954.171,untrusted
2014-11-29 13:41:43,2456991.071,17.30
2014-11-29 15:28:17,2456991.145,17.30
2014-11-29 19:41:56,2456991.321,17.29
2015-03-06 02:50:40,2457087.619,17.31
2015-03-06 04:37:15,2457087.693,17.32
2015-03-06 08:50:56,2457087.869,17.33
2015-03-06 10:37:31,2457087.943,17.30
2015-03-06 14:51:12,2457088.119,17.31
2015-03-13 20:57:55,2457095.374,17.27
2015-03-13 22:44:30,2457095.448,17.32
2015-03-14 02:58:11,2457095.624,17.32
2015-03-14 04:44:46,2457095.698,17.33
2015-04-21 22:17:13,2457134.429,17.41
2015-05-31 19:54:46,2457174.330,17.35
2015-05-31 21:41:20,2457174.404,17.43
2015-06-08 08:01:49,2457181.835,null
2015-06-08 09:48:35,2457181.909,null
2015-06-08 14:02:21,2457182.085,null
2015-06-08 15:48:31,2457182.159,null
2015-09-14 16:00:51,2457280.167,17.41
2015-09-14 17:47:24,2457280.241,null
2015-09-30 11:51:24,2457295.994,untrusted
2015-11-03 09:27:54,2457329.894,17.40
2016-03-11 21:54:19,2457459.413,17.55
2016-03-11 23:40:54,2457459.487,17.52
2016-03-12 03:54:35,2457459.663,17.47
2016-03-30 10:01:55,2457477.918,17.49
2016-03-30 11:48:30,2457477.992,17.51
2016-05-01 17:28:28,2457510.228,17.53
2016-05-01 21:42:10,2457510.404,17.59
2016-09-22 18:50:42,2457654.285,null
2016-10-14 17:00:07,2457676.208,null
2017-03-21 08:12:19,2457833.842,null
2017-03-21 12:26:05,2457834.018,null
2017-04-14 18:24:43,2457858.267,null
2017-04-14 20:10:54,2457858.341,null
2017-05-12 12:15:14,2457886.011,null
2017-05-12 14:01:59,2457886.085,null
2017-10-02 19:33:01,2458029.315,null
2017-10-02 21:19:10,2458029.388,null
2017-10-29 09:03:04,2458055.877,17.33
2017-11-23 01:06:51,2458080.546,17.50
2017-11-23 02:53:25,2458080.620,17.40
2018-03-31 15:22:43,2458209.141,untrusted
2018-04-29 21:09:47,2458238.382,17.41
2018-05-22 19:23:53,2458261.308,17.31
2018-05-22 21:10:27,2458261.382,17.36
2018-10-13 08:39:54,2458404.861,17.54
2018-10-13 10:26:28,2458404.935,17.63
2018-11-13 09:58:26,2458435.916,17.65
2018-12-02 08:13:31,2458454.843,17.39
2018-12-02 10:00:04,2458454.917,17.55
2019-04-11 08:47:41,2458584.866,17.67
2019-04-11 10:34:16,2458584.940,17.47
2019-05-15 08:22:24,2458618.849,17.46
2019-06-01 08:29:58,2458635.854,17.45
2019-06-01 10:16:33,2458635.928,17.66
2019-11-17 20:04:21,2458805.336,18.67
2019-12-03 12:40:35,2458821.028,18.87
2019-12-03 14:27:09,2458821.102,18.75
2020-03-05 09:27:29,2458913.894,19.14
2020-03-05 13:41:10,2458914.070,19.10
2020-03-05 15:27:45,2458914.144,18.99
2020-03-05 19:41:26,2458914.320,19.05
2020-03-05 21:28:32,2458914.395,null
2020-03-11 19:48:24,2458920.325,untrusted
2020-03-11 21:34:59,2458920.399,19.04
2020-03-12 01:48:40,2458920.575,19.20
2020-03-12 03:35:15,2458920.649,18.95
2020-04-20 15:51:13,2458960.161,17.29

