Gaia20bex
#Date,JD,averagemag.
2014-08-25 12:08:04,2456895.006,null
2014-11-10 12:14:49,2456972.010,null
2015-01-06 23:13:58,2457029.468,null
2015-01-07 01:00:43,2457029.542,null
2015-01-31 11:04:57,2457053.962,null
2015-01-31 12:51:42,2457054.036,null
2015-03-06 00:19:08,2457087.513,null
2015-03-06 04:32:19,2457087.689,null
2015-04-07 10:13:52,2457119.926,null
2015-05-08 11:47:52,2457150.992,null
2015-05-08 16:01:37,2457151.168,null
2015-06-14 03:40:27,2457187.653,null
2015-06-14 05:26:37,2457187.727,null
2015-07-16 23:08:58,2457220.465,null
2015-08-16 21:05:26,2457251.379,null
2015-08-16 22:52:11,2457251.453,null
2015-09-22 08:22:42,2457287.849,null
2015-10-15 14:15:29,2457311.094,null
2015-10-15 16:02:14,2457311.168,null
2015-11-22 13:14:39,2457349.052,null
2015-12-13 13:10:50,2457370.049,null
2016-01-18 14:04:02,2457406.086,null
2016-01-18 18:17:47,2457406.262,null
2016-02-13 12:06:08,2457432.004,null
2016-02-13 13:52:54,2457432.078,null
2016-03-17 11:38:56,2457464.985,null
2016-04-20 05:19:15,2457498.722,null
2016-04-20 07:05:25,2457498.795,null
2016-05-21 11:08:28,2457529.964,null
2016-06-26 10:47:09,2457565.949,null
2016-06-26 12:33:54,2457566.024,null
2016-07-30 04:25:27,2457599.684,null
2016-08-28 10:10:26,2457628.924,null
2016-10-04 09:22:24,2457665.891,null
2016-10-26 15:16:52,2457688.137,null
2016-12-03 08:15:16,2457725.844,null
2016-12-24 20:10:16,2457747.340,null
2016-12-24 21:57:01,2457747.415,null
2017-01-29 09:08:29,2457782.881,null
2017-03-30 02:08:50,2457842.589,null
2017-03-30 03:55:00,2457842.663,null
2017-05-04 03:34:06,2457877.649,null
2017-06-04 09:23:36,2457908.891,null
2017-06-04 13:37:21,2457909.068,null
2017-07-09 19:16:36,2457944.303,null
2017-08-13 00:49:54,2457978.535,null
2017-08-13 02:36:04,2457978.608,null
2017-10-16 23:44:02,2458043.489,null
2017-10-17 01:30:47,2458043.563,null
2017-11-07 11:40:05,2458064.986,null
2017-11-07 13:26:15,2458065.060,null
2017-12-15 00:25:02,2458102.517,null
2018-01-06 06:19:23,2458124.763,null
2018-02-10 03:49:02,2458159.659,null
2018-02-10 05:35:47,2458159.733,null
2018-03-11 03:33:32,2458188.648,null
2018-03-11 05:20:17,2458188.722,null
2018-04-11 23:02:30,2458220.460,null
2018-04-12 03:15:40,2458220.636,null
2018-05-18 02:54:44,2458256.621,null
2018-05-18 04:41:29,2458256.695,null
2018-06-18 16:29:27,2458288.187,null
2018-07-22 16:09:31,2458322.173,null
2018-08-26 19:50:57,2458357.327,null
2018-08-26 21:37:42,2458357.401,null
2018-09-21 19:40:08,2458383.320,null
2018-09-21 21:26:53,2458383.394,null
2018-10-29 12:43:30,2458421.030,null
2018-11-19 12:39:54,2458442.028,null
2018-11-19 14:26:39,2458442.102,null
2018-12-26 17:40:14,2458479.236,null
2019-01-18 23:33:14,2458502.481,null
2019-02-22 04:55:12,2458536.705,null
2019-03-24 18:24:10,2458567.267,null
2019-04-25 06:09:45,2458598.757,null
2019-05-31 22:01:30,2458635.418,null
2019-07-02 23:34:01,2458667.482,null
2019-07-22 11:25:07,2458686.976,null
2019-07-22 13:11:52,2458687.050,null
2019-08-27 14:55:41,2458723.122,null
2019-09-28 04:12:07,2458754.675,null
2019-09-28 08:25:52,2458754.851,null
2019-10-29 09:39:26,2458785.902,null
2019-10-29 11:26:11,2458785.977,null
2019-12-03 11:08:41,2458820.964,null
2019-12-03 12:55:26,2458821.038,null
2020-01-02 18:22:06,2458851.265,null
2020-01-02 20:08:51,2458851.339,null
2020-02-02 03:27:23,2458881.644,null
2020-03-07 09:24:41,2458915.892,17.53
2020-03-07 11:11:15,2458915.966,17.58
2020-03-31 12:05:48,2458940.004,18.59
2020-05-09 00:31:19,2458978.522,20.15
2020-05-09 02:17:53,2458978.596,20.19

