Gaia20bfy
#Date,JD,averagemag.
2014-11-28 13:26:24,2456990.060,null
2014-11-28 15:12:34,2456990.134,null
2014-11-28 19:26:18,2456990.310,null
2014-11-28 21:13:02,2456990.384,null
2014-11-29 01:26:46,2456990.560,null
2015-03-05 16:51:45,2457087.203,null
2015-03-05 21:05:31,2457087.379,null
2015-03-19 09:14:16,2457100.885,null
2015-03-19 11:01:02,2457100.959,null
2015-04-23 10:32:39,2457135.939,null
2015-09-11 03:46:38,2457276.657,null
2015-09-11 05:33:22,2457276.732,null
2015-09-28 17:36:26,2457294.234,null
2015-10-31 03:18:28,2457326.638,null
2015-10-31 05:05:12,2457326.712,null
2016-03-13 04:10:25,2457460.674,null
2016-03-13 05:57:11,2457460.748,null
2016-04-02 22:13:49,2457481.426,null
2016-04-03 00:00:35,2457481.500,null
2016-05-03 05:44:18,2457511.739,null
2016-09-19 10:52:07,2457650.953,null
2016-09-19 12:38:51,2457651.027,null
2016-10-13 00:31:18,2457674.522,null
2016-11-09 12:12:58,2457702.009,null
2017-03-22 20:27:41,2457835.353,null
2017-03-23 00:41:27,2457835.529,null
2017-04-18 00:35:16,2457861.524,null
2017-05-13 18:30:50,2457887.271,null
2017-05-13 20:17:35,2457887.346,null
2017-09-29 15:08:27,2458026.131,null
2017-10-27 20:48:35,2458054.367,null
2017-11-19 08:42:07,2458076.863,null
2018-04-02 07:51:59,2458210.828,null
2018-05-03 07:34:23,2458241.816,null
2018-05-23 15:26:19,2458262.143,null
2018-05-23 19:40:06,2458262.320,null
2018-11-11 21:43:01,2458434.405,null
2018-11-28 07:59:49,2458450.833,null
2018-11-28 09:46:34,2458450.907,null
2019-04-12 22:49:51,2458586.451,null
2019-05-19 14:35:28,2458623.108,null
2019-05-19 16:22:13,2458623.182,null
2019-05-31 22:31:12,2458635.438,null
2019-06-01 02:44:58,2458635.615,null
2019-06-01 04:31:43,2458635.689,null
2019-10-17 04:35:46,2458773.692,null
2019-11-22 02:00:00,2458809.583,null
2019-11-22 06:13:08,2458809.759,null
2019-12-03 00:25:15,2458820.518,null
2019-12-03 02:12:00,2458820.592,null
2019-12-03 06:25:44,2458820.768,null
2019-12-03 08:12:28,2458820.842,null
2020-03-02 01:51:45,2458910.578,null
2020-03-02 03:38:30,2458910.652,null
2020-03-02 07:52:16,2458910.828,null
2020-03-02 09:38:27,2458910.902,null
2020-03-09 20:00:50,2458918.334,18.35
2020-03-09 21:47:25,2458918.408,17.82
2020-03-10 02:01:06,2458918.584,17.10
2020-03-10 03:47:41,2458918.658,17.02

