Gaia20bgx
#Date,JD,averagemag.
2014-08-18 21:29:40,2456888.396,null
2014-08-19 01:43:26,2456888.572,null
2014-08-19 03:30:11,2456888.646,null
2014-08-19 07:43:57,2456888.822,null
2014-08-19 09:30:42,2456888.896,null
2014-08-19 13:43:53,2456889.072,null
2014-08-19 15:30:38,2456889.146,null
2014-08-19 19:44:23,2456889.322,null
2014-08-19 21:31:09,2456889.397,null
2014-08-20 01:44:54,2456889.573,null
2014-11-09 02:52:51,2456970.620,null
2014-11-09 04:39:36,2456970.694,null
2014-11-26 02:54:18,2456987.621,null
2014-11-26 04:41:02,2456987.695,null
2015-01-01 02:01:25,2457023.584,null
2015-02-01 07:36:42,2457054.817,null
2015-02-01 09:23:27,2457054.891,null
2015-02-26 21:21:29,2457080.390,null
2015-02-27 01:35:13,2457080.566,null
2015-02-27 03:21:23,2457080.640,null
2015-04-17 13:14:31,2457130.052,null
2015-04-17 15:00:41,2457130.125,null
2015-04-17 19:14:26,2457130.302,null
2015-06-18 13:03:18,2457192.044,null
2015-06-18 14:50:03,2457192.118,null
2015-07-23 20:19:42,2457227.347,null
2015-08-14 18:32:29,2457249.273,null
2015-08-14 20:19:15,2457249.347,null
2015-09-27 05:13:14,2457292.718,null
2015-09-27 06:59:24,2457292.791,null
2015-10-08 01:05:45,2457303.546,null
2015-10-08 05:19:30,2457303.722,null
2015-10-08 07:06:15,2457303.796,null
2015-11-19 17:39:21,2457346.236,null
2015-12-09 09:49:49,2457365.910,null
2016-01-12 04:53:49,2457399.704,null
2016-02-16 08:39:46,2457434.861,null
2016-02-16 10:26:31,2457434.935,null
2016-03-10 14:44:54,2457458.115,null
2016-03-10 16:31:38,2457458.189,null
2016-04-29 20:26:01,2457508.351,null
2016-04-29 22:12:46,2457508.426,null
2016-04-30 02:26:32,2457508.602,null
2016-05-25 14:31:06,2457534.105,null
2016-05-25 16:17:52,2457534.179,null
2016-06-29 14:12:53,2457569.092,null
2016-06-29 15:59:38,2457569.166,null
2016-08-24 21:21:14,2457625.390,null
2016-10-08 00:08:30,2457669.506,null
2016-10-08 01:55:15,2457669.580,null
2016-10-19 02:01:20,2457680.584,null
2016-10-19 06:15:05,2457680.760,null
2016-11-29 10:54:28,2457721.954,null
2016-11-29 12:41:13,2457722.029,null
2016-12-21 18:33:09,2457744.273,null
2017-01-22 16:14:52,2457776.177,null
2017-01-22 18:01:37,2457776.251,null
2017-03-03 00:55:57,2457815.539,null
2017-03-03 05:09:06,2457815.715,null
2017-03-03 06:55:51,2457815.789,null
2017-03-23 23:18:31,2457836.471,null
2017-03-24 01:05:16,2457836.545,null
2017-03-24 05:18:25,2457836.721,null
2017-03-24 07:05:10,2457836.795,null
2017-05-12 17:00:08,2457886.208,null
2017-05-12 18:46:18,2457886.282,null
2017-06-10 04:58:25,2457914.707,null
2017-06-10 06:44:35,2457914.781,null
2017-07-11 10:43:38,2457945.947,null
2017-07-11 12:30:23,2457946.021,null
2017-08-19 15:52:06,2457985.161,null
2017-08-19 17:38:51,2457985.235,null
2017-09-04 21:58:00,2458001.415,null
2017-09-04 23:44:11,2458001.489,null
2017-10-19 02:26:40,2458045.602,null
2017-10-19 04:13:25,2458045.676,null
2017-10-31 14:32:36,2458058.106,null
2017-10-31 16:18:46,2458058.180,null
2017-12-10 07:20:14,2458097.806,null
2018-01-04 08:52:58,2458122.870,null
2018-02-03 06:45:33,2458152.782,null
2018-02-03 08:31:43,2458152.855,null
2018-03-19 02:05:36,2458196.587,null
2018-03-19 06:19:21,2458196.763,null
2018-03-19 08:06:06,2458196.838,null
2018-03-19 12:19:50,2458197.014,null
2018-04-08 00:30:43,2458216.521,null
2018-04-08 02:16:54,2458216.595,null
2018-04-08 06:30:39,2458216.771,null
2018-04-08 08:17:24,2458216.845,null
2018-05-25 06:11:03,2458263.758,null
2018-05-25 07:57:48,2458263.832,null
2018-06-25 06:00:48,2458294.751,null
2018-07-23 05:51:30,2458322.744,null
2018-09-02 04:49:48,2458363.701,null
2018-09-02 06:35:58,2458363.775,null
2018-09-15 18:42:27,2458377.279,null
2018-09-15 22:56:12,2458377.456,null
2018-10-29 21:23:41,2458421.391,null
2018-11-13 09:27:29,2458435.894,null
2018-11-13 11:14:14,2458435.968,null
2018-12-21 04:11:00,2458473.674,null
2019-01-18 08:04:46,2458501.837,null
2019-02-15 01:54:00,2458529.579,null
2019-02-15 03:40:44,2458529.653,null
2019-04-03 15:17:32,2458577.137,null
2019-04-03 19:31:17,2458577.313,null
2019-04-03 21:18:02,2458577.388,null
2019-04-24 07:42:18,2458597.821,null
2019-04-24 09:29:03,2458597.895,null
2019-04-24 13:42:48,2458598.071,null
2019-04-24 15:29:33,2458598.146,null
2019-06-06 13:21:35,2458641.057,null
2019-06-06 15:08:20,2458641.131,null
2019-07-09 19:01:36,2458674.293,null
2019-07-09 20:48:21,2458674.367,null
2019-07-21 20:52:22,2458686.370,null
2019-07-21 22:38:32,2458686.443,null
2019-08-20 03:55:55,2458715.664,null
2019-08-20 05:42:40,2458715.738,null
2019-10-08 05:50:30,2458764.743,null
2019-10-08 07:37:15,2458764.818,null
2019-10-28 18:18:49,2458785.263,null
2019-10-28 20:04:59,2458785.337,null
2019-10-29 00:18:43,2458785.513,null
2019-12-08 19:58:43,2458826.332,null
2019-12-08 21:45:28,2458826.407,null
2020-01-09 03:20:40,2458857.639,null
2020-02-01 05:57:19,2458880.748,null
2020-03-13 00:41:17,2458921.529,17.66
2020-03-13 02:27:51,2458921.603,17.67
2020-03-24 12:56:36,2458933.039,untrusted
2020-03-24 14:43:10,2458933.113,17.77
2020-05-07 11:36:30,2458976.984,19.66
2020-05-07 15:50:11,2458977.160,19.67

