Gaia20bil
#Date,JD,averagemag.
2014-09-11 05:03:37,2456911.711,untrusted
2014-09-11 06:50:11,2456911.785,untrusted
2014-10-15 14:12:34,2456946.092,untrusted
2015-02-28 05:04:57,2457081.712,null
2015-03-24 22:59:28,2457106.458,18.08
2015-04-20 15:06:25,2457133.129,18.08
2015-04-20 16:53:00,2457133.203,18.08
2015-09-03 21:45:03,2457269.406,18.09
2015-09-03 23:31:37,2457269.480,18.09
2015-10-01 15:28:35,2457297.145,18.10
2015-10-01 17:15:09,2457297.219,18.08
2015-10-25 15:19:13,2457321.138,18.09
2015-10-25 17:05:46,2457321.212,18.06
2016-03-09 10:27:38,2457456.936,18.09
2016-04-07 23:58:33,2457486.499,untrusted
2016-04-29 16:16:15,2457508.178,untrusted
2016-04-29 18:02:50,2457508.252,18.07
2016-09-13 16:53:38,2457645.204,18.05
2016-10-15 16:23:10,2457677.183,18.06
2016-10-15 18:09:44,2457677.257,18.04
2016-11-03 04:24:34,2457695.684,null
2016-11-03 06:10:43,2457695.757,null
2017-03-19 20:47:21,2457832.366,18.07
2017-04-24 00:35:40,2457867.525,18.05
2017-04-24 02:22:15,2457867.599,18.05
2017-05-08 06:45:26,2457881.782,untrusted
2017-05-08 08:32:00,2457881.856,18.06
2017-05-08 12:45:41,2457882.032,18.05
2017-10-31 06:41:21,2458057.779,18.04
2017-10-31 08:27:55,2458057.853,18.07
2017-10-31 12:41:34,2458058.029,18.08
2017-11-11 00:47:23,2458068.533,18.05
2017-11-11 02:33:56,2458068.607,18.06
2018-02-10 14:35:25,2458160.108,18.06
2018-02-10 16:21:59,2458160.182,18.08
2018-02-10 20:35:40,2458160.358,18.07
2018-03-30 14:12:37,2458208.092,null
2018-03-30 15:58:55,2458208.166,18.09
2018-08-15 15:00:09,2458346.125,null
2018-08-15 16:46:39,2458346.199,18.10
2018-08-15 21:00:18,2458346.375,18.09
2018-08-15 22:46:52,2458346.449,18.11
2018-08-31 22:52:24,2458362.453,18.08
2018-09-01 03:06:08,2458362.629,null
2019-02-18 23:25:39,2458533.476,18.08
2019-03-10 09:43:04,2458552.905,18.09
2019-03-10 11:29:38,2458552.979,18.10
2019-04-10 09:23:58,2458583.892,18.05
2019-08-24 02:18:00,2458719.596,18.09
2019-08-24 04:04:34,2458719.670,18.10
2019-09-13 16:39:21,2458740.194,untrusted
2020-02-21 07:40:16,2458900.820,17.95
2020-02-21 09:26:50,2458900.894,17.99
2020-03-14 20:27:59,2458923.353,17.70
2020-03-14 22:14:34,2458923.427,17.68
2020-04-12 09:42:36,2458951.905,17.87

