Gaia20bis
#Date,JD,averagemag.
2015-02-27 15:17:18,2457081.137,null
2015-02-27 17:04:04,2457081.211,null
2015-03-24 21:11:15,2457106.383,null
2015-03-24 22:58:01,2457106.457,null
2015-04-19 22:52:23,2457132.453,null
2015-04-20 03:06:09,2457132.629,null
2015-09-03 21:47:30,2457269.408,null
2015-09-03 23:33:39,2457269.482,null
2015-10-02 05:15:36,2457297.719,null
2015-10-25 15:21:20,2457321.140,null
2016-03-08 22:27:15,2457456.436,null
2016-04-07 23:56:37,2457486.498,null
2016-04-28 22:15:29,2457507.427,null
2016-04-29 00:02:14,2457507.502,null
2016-09-13 16:55:37,2457645.205,null
2016-10-16 06:10:01,2457677.757,null
2016-11-02 22:25:39,2457695.434,null
2016-11-03 00:12:24,2457695.509,null
2017-03-19 08:46:51,2457831.866,null
2017-04-24 06:34:23,2457867.774,null
2017-04-24 08:20:33,2457867.848,null
2017-05-07 06:43:47,2457880.780,null
2017-05-07 08:30:32,2457880.855,null
2017-05-07 12:44:18,2457881.031,null
2017-08-10 08:03:08,2457975.836,null
2017-08-10 14:03:02,2457976.085,null
2017-08-10 15:49:47,2457976.160,null
2017-08-10 20:03:30,2457976.336,null
2017-08-10 21:49:40,2457976.409,null
2017-08-11 02:03:24,2457976.586,null
2017-08-11 03:50:08,2457976.660,null
2017-08-11 08:03:52,2457976.836,null
2017-08-11 09:50:37,2457976.910,null
2017-08-11 14:03:46,2457977.086,null
2017-08-11 15:50:30,2457977.160,null
2017-08-11 20:04:14,2457977.336,null
2017-08-11 21:50:59,2457977.410,null
2017-08-12 02:04:08,2457977.586,null
2017-08-12 03:50:52,2457977.660,null
2017-08-12 08:04:36,2457977.837,null
2017-08-12 09:51:21,2457977.911,null
2017-08-12 14:05:05,2457978.087,null
2017-08-12 15:51:14,2457978.161,null
2017-08-12 20:04:58,2457978.337,null
2017-08-12 21:51:43,2457978.411,null
2017-08-13 02:05:27,2457978.587,null
2017-08-13 03:51:36,2457978.661,null
2017-08-13 08:05:20,2457978.837,null
2017-09-24 13:27:05,2458021.060,null
2017-11-01 06:42:37,2458058.780,null
2017-11-01 08:29:21,2458058.854,null
2017-11-01 12:43:05,2458059.030,null
2017-11-10 00:48:05,2458067.533,null
2017-11-10 02:34:49,2458067.608,null
2017-11-10 06:48:33,2458067.784,null
2017-11-10 08:35:18,2458067.858,null
2018-02-09 20:33:41,2458159.357,null
2018-02-09 22:20:26,2458159.431,null
2018-02-10 02:34:12,2458159.607,null
2018-03-30 02:12:21,2458207.592,null
2018-03-30 03:58:32,2458207.666,null
2018-08-15 09:01:53,2458345.876,null
2018-08-15 10:48:37,2458345.950,null
2018-08-15 15:02:21,2458346.127,null
2018-08-15 16:49:06,2458346.201,null
2018-09-01 16:53:37,2458363.204,null
2019-02-18 09:37:57,2458532.901,null
2019-03-10 09:41:30,2458552.904,null
2019-03-10 11:27:41,2458552.978,null
2019-04-09 17:10:14,2458583.215,null
2019-04-09 21:24:00,2458583.392,null
2019-08-23 08:18:20,2458718.846,null
2019-08-23 10:05:04,2458718.920,null
2019-09-13 14:55:07,2458740.122,null
2019-09-13 16:41:17,2458740.195,null
2019-10-13 22:08:51,2458770.423,null
2019-10-13 23:55:35,2458770.497,null
2020-02-21 07:38:32,2458900.818,null
2020-03-15 08:28:32,2458923.853,18.98
2020-03-15 10:15:07,2458923.927,18.94
2020-04-12 05:26:58,2458951.727,19.35
2020-04-12 09:40:39,2458951.903,19.34

