Gaia20bjc
#Date,JD,averagemag.
2014-09-13 11:14:46,2456913.969,untrusted
2014-10-17 14:23:52,2456948.100,untrusted
2015-02-26 03:06:22,2457079.629,null
2015-03-22 21:01:35,2457104.376,17.85
2015-03-22 22:48:10,2457104.450,17.77
2015-04-18 04:41:07,2457130.695,17.94
2015-04-18 08:55:19,2457130.872,null
2015-09-06 03:56:33,2457271.664,18.00
2015-09-06 05:43:07,2457271.738,17.99
2015-10-03 21:38:54,2457299.402,17.81
2015-10-03 23:25:28,2457299.476,untrusted
2015-10-27 15:31:16,2457323.147,17.68
2015-10-27 17:17:50,2457323.221,17.81
2016-03-07 04:16:09,2457454.678,17.75
2016-03-07 06:02:44,2457454.752,17.74
2016-04-05 22:00:23,2457484.417,18.01
2016-04-05 23:46:57,2457484.491,18.04
2016-04-27 04:03:28,2457505.669,17.78
2016-04-27 05:50:03,2457505.743,17.80
2016-09-15 17:04:29,2457647.211,17.79
2016-09-15 18:51:03,2457647.285,17.77
2016-10-18 04:34:08,2457679.690,null
2016-11-04 18:23:22,2457697.266,null
2016-11-04 22:36:57,2457697.442,18.10
2016-11-05 00:23:30,2457697.516,18.13
2017-03-17 18:49:59,2457830.285,17.74
2017-04-21 12:22:34,2457865.016,untrusted
2017-04-21 14:09:21,2457865.090,null
2017-05-06 00:31:33,2457879.522,17.54
2017-05-06 02:18:08,2457879.596,17.58
2017-08-11 08:14:40,2457976.844,17.81
2017-08-11 10:01:13,2457976.918,17.79
2017-08-11 14:14:52,2457977.094,17.85
2017-08-11 16:01:26,2457977.168,17.88
2017-08-11 20:15:05,2457977.344,17.85
2017-08-11 22:01:39,2457977.418,17.82
2017-08-12 04:01:51,2457977.668,17.77
2017-08-16 04:05:01,2457981.670,null
2017-08-16 08:18:45,2457981.846,null
2017-08-16 10:05:29,2457981.920,null
2017-08-16 14:19:13,2457982.097,null
2017-08-16 16:05:23,2457982.170,null
2017-08-16 20:19:06,2457982.347,null
2017-09-26 13:35:37,2458023.066,null
2017-09-26 15:22:22,2458023.141,null
2017-11-04 00:54:47,2458061.538,17.74
2017-11-04 02:41:21,2458061.612,17.74
2017-11-04 06:55:00,2458061.788,17.70
2017-11-04 08:41:30,2458061.862,null
2017-11-11 07:00:01,2458068.792,17.74
2017-11-11 08:46:34,2458068.866,17.67
2017-11-11 13:00:13,2458069.042,17.65
2017-11-11 14:46:47,2458069.116,17.69
2018-02-09 02:21:37,2458158.598,17.88
2018-02-09 04:08:12,2458158.672,untrusted
2018-02-09 08:21:59,2458158.849,null
2018-03-28 09:47:58,2458205.908,17.76
2018-08-17 21:13:45,2458348.385,null
2018-08-17 23:00:10,2458348.458,17.68
2018-09-03 15:17:47,2458365.137,null
2018-09-03 17:04:31,2458365.211,null
2018-10-07 08:44:11,2458398.864,17.76
2019-02-16 21:26:03,2458531.393,17.63
2019-02-16 23:12:38,2458531.467,17.74
2019-03-08 05:17:50,2458550.721,17.90
2019-04-08 03:12:52,2458581.634,17.96
2019-08-21 20:26:56,2458717.352,17.81
2019-08-21 22:13:29,2458717.426,17.82
2019-09-11 10:46:52,2458737.949,17.76
2019-10-12 06:02:43,2458768.752,17.89
2020-02-23 09:18:36,2458902.888,17.52
2020-02-23 13:32:18,2458903.064,17.56
2020-03-17 02:21:44,2458925.598,17.17
2020-03-17 04:08:19,2458925.672,17.19
2020-04-14 09:35:03,2458953.899,17.86

