Gaia20bjp
#Date,JD,averagemag.
2014-09-09 00:55:07,2456909.538,untrusted
2014-10-12 20:15:41,2456943.344,untrusted
2014-10-12 22:02:15,2456943.418,untrusted
2015-02-25 21:24:57,2457079.392,null
2015-03-27 03:08:55,2457108.631,19.67
2015-03-27 04:55:30,2457108.705,19.58
2015-04-17 16:59:19,2457130.208,untrusted
2015-04-17 21:13:00,2457130.384,19.62
2015-09-01 15:49:57,2457267.160,null
2015-10-03 17:06:15,2457299.213,19.71
2015-10-03 21:19:54,2457299.389,19.65
2015-10-22 09:20:56,2457317.890,null
2015-10-22 11:07:05,2457317.963,null
2016-03-07 06:22:17,2457454.765,null
2016-04-11 04:10:04,2457489.674,19.67
2016-04-11 05:56:38,2457489.748,19.71
2016-04-25 10:19:46,2457503.930,null
2016-04-25 12:06:32,2457504.005,null
2016-09-11 10:58:33,2457642.957,19.68
2016-09-11 12:45:07,2457643.031,19.65
2016-10-18 12:02:22,2457680.002,null
2016-10-18 16:15:42,2457680.178,19.57
2016-10-29 10:21:33,2457690.932,19.66
2016-10-29 12:08:07,2457691.006,19.67
2017-01-29 06:10:13,2457782.757,19.60
2017-01-29 07:56:48,2457782.831,19.61
2017-02-10 13:41:05,2457795.070,19.60
2017-02-10 15:27:40,2457795.144,19.61
2017-03-17 20:55:36,2457830.372,19.67
2017-08-02 13:56:20,2457968.081,untrusted
2017-08-02 15:42:54,2457968.155,19.64
2017-08-18 15:48:39,2457984.159,19.55
2017-08-18 20:02:17,2457984.335,19.56
2017-09-22 07:29:35,2458018.812,19.65
2017-09-22 09:16:09,2458018.886,19.59
2018-02-06 10:23:01,2458155.933,null
2018-02-06 14:36:47,2458156.109,null
2018-03-28 14:20:40,2458206.098,19.59
2018-08-11 16:48:29,2458342.200,19.68
2018-09-03 16:45:17,2458365.198,19.53
2018-09-03 20:58:56,2458365.374,untrusted
2018-10-02 22:24:00,2458394.433,19.64
2019-02-15 23:30:09,2458530.479,19.62
2019-04-07 23:18:06,2458581.471,19.64
2019-04-08 03:31:48,2458581.647,19.62
2019-08-21 02:07:39,2458716.589,untrusted
2019-08-21 03:54:13,2458716.663,19.65
2019-09-15 21:01:21,2458742.376,19.65
2019-10-12 03:57:14,2458768.665,19.55
2019-10-12 05:43:48,2458768.739,19.59
2020-02-18 15:17:32,2458898.137,19.09
2020-03-16 20:40:31,2458925.361,18.60
2020-03-16 22:27:05,2458925.435,18.58
2020-04-09 15:34:21,2458949.149,18.71
2020-04-09 17:20:56,2458949.223,18.70

