Gaia20bke
#Date,JD,averagemag.
2014-09-10 14:11:36,2456911.091,untrusted
2014-09-10 15:58:11,2456911.165,untrusted
2014-10-14 11:29:16,2456944.979,untrusted
2014-10-14 13:15:51,2456945.053,untrusted
2015-02-25 00:22:01,2457078.515,16.24
2015-02-25 02:08:34,2457078.589,16.19
2015-03-25 13:46:47,2457107.074,15.70
2015-04-16 23:56:04,2457129.497,16.16
2015-04-17 01:42:37,2457129.571,16.12
2015-09-03 06:50:56,2457268.785,16.32
2015-10-04 18:32:09,2457300.272,15.73
2015-10-24 00:37:18,2457319.526,16.03
2015-10-24 02:23:53,2457319.600,16.01
2016-04-09 00:55:51,2457487.539,15.83
2016-04-09 02:42:36,2457487.613,null
2016-04-25 01:01:24,2457503.543,null
2016-04-25 02:47:30,2457503.616,15.92
2016-09-13 02:02:38,2457644.585,null
2016-10-19 13:32:44,2457681.064,null
2016-10-19 15:19:29,2457681.139,null
2016-10-30 21:28:06,2457692.395,null
2016-10-31 01:41:17,2457692.570,null
2016-10-31 03:28:02,2457692.644,null
2017-01-29 21:15:20,2457783.386,null
2017-01-29 23:02:04,2457783.460,null
2017-02-07 23:07:24,2457792.463,null
2017-02-08 03:21:08,2457792.640,null
2017-02-08 05:07:52,2457792.714,null
2017-08-04 18:39:16,2457970.277,null
2017-08-04 22:53:02,2457970.453,null
2017-08-19 12:48:55,2457985.034,null
2017-08-19 17:02:41,2457985.210,null
2017-09-23 22:37:11,2458020.442,null
2018-02-06 05:38:38,2458155.735,15.59
2018-02-06 07:25:11,2458155.809,15.57
2018-03-27 17:09:32,2458205.215,15.66
2018-03-27 18:56:06,2458205.289,15.73
2018-08-13 17:59:07,2458344.249,15.77
2018-09-04 13:49:16,2458366.076,15.87
2018-10-04 11:47:56,2458395.992,16.19
2018-10-04 13:34:31,2458396.066,16.21
2019-02-15 08:30:14,2458529.854,15.50
2019-03-11 00:34:37,2458553.524,15.84
2019-03-11 02:21:10,2458553.598,15.85
2019-04-07 06:17:43,2458580.762,16.42
2019-08-20 06:52:56,2458715.787,16.09
2019-08-20 11:06:38,2458715.963,16.12
2019-09-14 06:02:57,2458740.752,15.89
2019-09-14 07:49:32,2458740.826,15.94
2019-10-11 08:56:49,2458767.873,null
2020-02-20 06:21:55,2458899.765,17.73
2020-03-17 17:34:01,2458926.232,17.88
2020-03-17 19:20:35,2458926.306,17.90
2020-04-11 06:23:39,2458950.766,17.42
2020-04-11 08:10:12,2458950.840,17.37

