Gaia20bki
#Date,JD,averagemag.
2015-02-23 21:32:12,2457077.397,null
2015-03-30 03:07:28,2457111.630,null
2015-03-30 04:53:39,2457111.704,null
2015-04-13 21:16:32,2457126.386,null
2015-04-13 23:03:18,2457126.461,null
2015-08-30 11:41:20,2457264.987,null
2015-10-06 09:12:45,2457301.884,null
2015-10-06 10:58:55,2457301.958,null
2015-10-18 03:18:37,2457313.638,null
2015-10-18 05:05:21,2457313.712,null
2016-01-18 00:54:16,2457405.538,null
2016-01-18 05:08:02,2457405.714,null
2016-01-18 06:54:48,2457405.788,null
2016-01-29 23:16:33,2457417.470,null
2016-01-30 01:02:43,2457417.544,null
2016-03-05 10:43:21,2457452.947,null
2016-07-20 11:29:41,2457589.979,null
2016-07-20 13:16:26,2457590.053,null
2016-07-20 17:30:09,2457590.229,null
2016-07-20 19:16:54,2457590.303,null
2016-08-05 05:36:02,2457605.733,null
2016-08-05 07:22:47,2457605.807,null
2016-09-09 11:03:08,2457640.961,null
2016-09-09 12:49:52,2457641.035,null
2017-01-25 06:11:13,2457778.758,null
2017-01-25 07:57:59,2457778.832,null
2017-02-13 01:37:49,2457797.568,null
2017-02-13 03:24:34,2457797.642,null
2017-03-16 01:17:19,2457828.554,null
2017-07-29 13:58:12,2457964.082,null
2017-07-29 15:44:21,2457964.156,null
2017-08-21 09:42:00,2457986.904,null
2017-09-20 03:20:20,2458016.639,null
2018-02-03 16:27:21,2458153.186,null
2018-03-26 10:15:11,2458203.927,null
2018-08-08 22:52:17,2458339.453,null
2018-09-05 16:37:28,2458367.193,null
2018-09-05 20:51:11,2458367.369,null
2019-02-13 17:36:46,2458528.234,null
2019-03-14 15:35:08,2458557.149,null
2019-03-14 17:21:54,2458557.224,null
2019-04-05 09:38:19,2458578.902,null
2019-04-05 11:25:05,2458578.976,null
2019-08-18 15:43:52,2458714.155,null
2019-09-17 22:55:53,2458744.455,null
2019-10-09 15:46:21,2458766.157,null
2019-10-09 17:33:06,2458766.231,null
2020-02-16 13:22:39,2458896.057,null
2020-03-18 20:52:45,2458927.370,17.98
2020-03-18 22:39:20,2458927.444,18.04

