Gaia20bqs
#Date,JD,averagemag.
2014-09-05 05:06:18,2456905.713,untrusted
2014-10-08 08:07:52,2456938.839,untrusted
2015-01-10 22:19:12,2457033.430,16.55
2015-01-11 00:05:47,2457033.504,16.54
2015-01-11 04:19:28,2457033.680,16.54
2015-01-11 06:06:03,2457033.754,16.56
2015-01-11 10:19:43,2457033.930,16.55
2015-01-16 10:24:30,2457038.934,16.55
2015-01-16 12:11:05,2457039.008,16.57
2015-01-16 16:24:46,2457039.184,16.55
2015-01-16 18:11:21,2457039.258,16.55
2015-02-24 23:27:54,2457078.478,untrusted
2015-04-01 09:16:42,2457113.887,16.50
2015-04-01 11:03:17,2457113.961,16.51
2015-04-01 15:16:58,2457114.137,16.53
2015-04-15 05:13:16,2457127.718,16.53
2015-04-15 09:26:57,2457127.894,16.56
2015-04-15 11:13:31,2457127.968,16.55
2015-04-15 15:27:13,2457128.144,16.55
2015-10-04 10:49:12,2457299.951,16.53
2015-10-04 15:02:51,2457300.127,16.55
2015-10-16 21:08:25,2457312.381,16.57
2015-10-16 22:54:59,2457312.455,16.57
2016-01-17 19:03:35,2457405.294,16.56
2016-01-17 23:17:16,2457405.470,16.58
2016-02-01 11:24:20,2457419.975,16.56
2016-02-01 13:10:54,2457420.049,16.53
2016-03-06 16:52:34,2457454.203,16.58
2016-07-17 05:20:09,2457586.722,null
2016-07-17 07:06:54,2457586.796,null
2016-07-17 11:20:38,2457586.973,null
2016-07-17 13:06:47,2457587.046,null
2016-08-04 01:12:26,2457604.550,null
2016-08-04 05:26:10,2457604.727,null
2016-09-07 12:42:58,2457639.030,null
2017-01-25 20:07:38,2457779.339,null
2017-02-15 01:45:22,2457799.573,null
2017-02-15 03:31:33,2457799.647,null
2017-03-17 07:26:35,2457829.810,null
2017-03-17 09:13:21,2457829.884,null
2017-07-27 01:50:08,2457961.576,null
2017-07-27 03:36:53,2457961.651,null
2017-08-20 07:46:03,2457985.824,null
2017-09-18 07:26:04,2458014.810,null
2017-09-18 09:12:48,2458014.884,null
2018-02-04 14:50:41,2458154.119,16.53
2018-03-01 14:43:21,2458179.113,16.55
2018-03-01 16:29:56,2458179.187,16.55
2018-03-27 20:37:36,2458205.359,16.52
2018-03-27 22:24:11,2458205.433,untrusted
2018-08-06 14:58:36,2458337.124,null
2018-08-06 16:44:55,2458337.198,16.44
2018-09-04 14:41:37,2458366.112,16.46
2019-02-14 17:46:10,2458529.240,16.46
2019-03-16 15:43:05,2458559.155,16.45
2019-04-06 23:34:26,2458580.482,16.44
2019-04-07 03:48:08,2458580.658,16.46
2019-08-19 19:49:11,2458715.326,16.38
2019-09-19 22:51:05,2458746.452,16.39
2019-10-11 03:39:14,2458767.652,null
2019-10-11 05:25:59,2458767.726,null
2020-02-14 13:25:26,2458894.059,16.36
2020-03-17 10:45:33,2458925.948,16.37
2020-04-04 21:33:34,2458944.398,16.35
2020-04-04 23:20:08,2458944.472,16.35

