Gaia20bzo
#Date,JD,averagemag.
2014-10-29 06:54:53,2456959.788,null
2014-11-23 17:00:48,2456985.209,null
2014-11-23 18:46:58,2456985.283,null
2015-04-25 17:15:34,2457138.219,null
2015-04-25 19:02:19,2457138.293,null
2015-05-24 16:57:21,2457167.206,null
2015-06-17 18:35:53,2457191.275,null
2015-11-08 14:04:14,2457335.086,null
2015-12-08 11:59:58,2457365.000,null
2015-12-08 13:46:44,2457365.074,null
2015-12-28 18:05:03,2457385.254,null
2015-12-28 19:51:48,2457385.328,null
2016-05-05 12:24:23,2457514.017,null
2016-05-05 14:11:07,2457514.091,null
2016-06-07 23:52:22,2457547.495,null
2016-06-26 17:53:48,2457566.246,null
2016-06-26 19:40:32,2457566.320,null
2016-10-03 15:50:32,2457665.160,null
2016-10-03 20:04:18,2457665.336,null
2016-10-03 21:51:04,2457665.410,null
2016-10-04 02:04:50,2457665.587,null
2016-10-04 03:51:00,2457665.660,null
2016-10-08 20:08:58,2457670.340,null
2016-10-08 21:55:44,2457670.414,null
2016-10-09 02:09:30,2457670.590,null
2016-10-09 03:56:15,2457670.664,null
2016-11-18 01:28:36,2457710.562,null
2016-11-18 03:14:46,2457710.635,null
2016-12-23 13:02:13,2457746.043,null
2016-12-23 14:48:59,2457746.117,null
2017-01-04 14:57:56,2457758.124,null
2017-01-04 19:11:42,2457758.300,null
2017-01-04 20:58:28,2457758.374,null
2017-03-31 09:27:21,2457843.894,null
2017-03-31 15:27:50,2457844.144,null
2017-03-31 17:13:59,2457844.218,null
2017-03-31 21:27:44,2457844.394,null
2017-03-31 23:14:28,2457844.468,null
2017-04-01 03:28:12,2457844.645,null
2017-04-01 05:14:57,2457844.719,null
2017-04-01 09:28:06,2457844.895,null
2017-04-01 11:14:50,2457844.969,null
2017-04-01 15:28:34,2457845.145,null
2017-04-01 17:15:19,2457845.219,null
2017-04-01 21:28:28,2457845.395,null
2017-04-01 23:15:12,2457845.469,null
2017-04-02 05:15:41,2457845.719,null
2017-04-02 11:15:35,2457845.969,null
2017-04-02 17:16:03,2457846.219,null
2017-04-02 23:15:57,2457846.469,null
2017-04-03 05:16:25,2457846.720,null
2017-04-03 11:16:19,2457846.970,null
2017-04-03 15:30:03,2457847.146,null
2017-04-03 17:16:47,2457847.220,null
2017-04-03 21:30:31,2457847.396,null
2017-04-03 23:16:41,2457847.470,null
2017-04-04 03:30:25,2457847.646,null
2017-04-04 05:17:09,2457847.720,null
2017-04-04 09:30:53,2457847.896,null
2017-04-04 11:17:38,2457847.971,null
2017-04-04 15:30:47,2457848.146,null
2017-04-04 17:17:31,2457848.220,null
2017-04-04 21:31:15,2457848.397,null
2017-05-16 14:55:51,2457890.122,null
2017-05-16 16:42:01,2457890.196,null
2017-06-23 21:56:55,2457928.415,null
2017-06-24 02:10:39,2457928.591,null
2017-07-05 08:16:48,2457939.845,null
2017-07-05 10:03:33,2457939.919,null
2017-10-10 12:11:34,2458037.008,null
2017-10-10 16:25:20,2458037.184,null
2017-10-25 16:32:36,2458052.189,null
2017-10-25 18:19:21,2458052.263,null
2017-11-28 16:01:59,2458086.168,null
2018-04-06 00:15:37,2458214.511,null
2018-04-06 04:28:46,2458214.687,null
2018-04-06 06:15:30,2458214.761,null
2018-04-23 18:20:31,2458232.264,null
2018-04-23 22:33:40,2458232.440,null
2018-05-27 16:04:30,2458266.170,null
2018-05-27 17:50:40,2458266.244,null
2018-10-19 17:29:31,2458411.229,null
2018-11-09 11:31:08,2458431.980,null
2018-11-09 13:17:18,2458432.054,null
2018-12-09 05:13:39,2458461.718,null
2019-04-15 11:35:34,2458588.983,null
2019-04-15 13:22:19,2458589.057,null
2019-05-09 17:30:51,2458613.230,null
2019-06-07 11:12:08,2458641.967,null
2019-06-07 12:58:18,2458642.040,null
2019-10-19 14:07:55,2458776.089,null
2019-10-19 15:54:41,2458776.163,null
2019-11-12 10:46:27,2458799.949,null
2019-12-09 16:10:47,2458827.174,null
2020-04-26 07:13:14,2458965.801,18.56
2020-04-26 08:59:47,2458965.875,18.57

