Gaia20cak
#Date,JD,averagemag.
2014-09-26 15:36:44,2456927.151,untrusted
2014-12-05 16:18:39,2456997.180,untrusted
2014-12-29 08:36:22,2457020.859,untrusted
2014-12-29 10:22:56,2457020.933,untrusted
2015-02-13 04:00:31,2457066.667,19.35
2015-02-13 08:14:11,2457066.843,19.39
2015-02-13 10:00:45,2457066.917,19.36
2015-03-11 20:13:55,2457093.343,19.58
2015-03-11 22:00:30,2457093.417,untrusted
2015-04-13 01:55:58,2457125.581,19.47
2015-05-20 07:11:54,2457162.800,null
2015-06-08 03:01:02,2457181.626,null
2015-06-08 07:14:48,2457181.802,null
2015-07-22 05:51:35,2457225.744,null
2015-07-22 07:37:45,2457225.818,null
2015-08-05 05:57:09,2457239.748,null
2015-08-05 07:43:54,2457239.822,null
2015-09-15 22:43:48,2457281.447,19.63
2015-09-16 00:30:22,2457281.521,19.47
2015-10-10 10:34:29,2457305.941,null
2015-11-11 10:06:31,2457337.921,19.59
2015-11-11 11:53:05,2457337.995,19.50
2015-12-20 17:25:27,2457377.226,untrusted
2015-12-20 21:39:07,2457377.402,19.59
2015-12-20 23:25:41,2457377.476,untrusted
2016-01-12 03:47:01,2457399.658,null
2016-01-12 05:33:46,2457399.732,null
2016-02-25 15:24:31,2457444.142,19.39
2016-02-25 17:11:05,2457444.216,19.39
2016-03-25 09:17:16,2457472.887,19.55
2016-03-25 11:03:50,2457472.961,untrusted
2016-04-23 16:50:02,2457502.201,untrusted
2016-06-01 20:10:15,2457541.340,null
2016-06-01 21:56:26,2457541.414,null
2016-06-18 14:14:44,2457558.094,null
2016-06-18 16:01:29,2457558.168,null
2016-08-02 00:48:58,2457602.534,null
2016-08-02 02:35:08,2457602.608,null
2016-08-17 06:53:17,2457617.787,null
2016-08-17 08:40:02,2457617.861,null
2016-09-26 07:34:02,2457657.815,null
2016-10-23 07:19:22,2457684.805,null
2016-10-23 11:33:06,2457684.981,null
2016-11-22 11:15:03,2457714.969,null
2017-01-03 22:48:39,2457757.450,null
2017-01-04 00:35:24,2457757.525,null
2017-01-04 04:49:09,2457757.701,null
2017-01-25 16:57:48,2457779.207,null
2017-01-25 18:43:58,2457779.281,null
2017-03-08 17:57:26,2457821.248,null
2017-03-08 19:44:11,2457821.322,null
2017-04-08 17:41:52,2457852.237,null
2017-04-08 19:28:37,2457852.312,null
2017-05-05 05:32:47,2457878.731,null
2017-05-05 07:19:32,2457878.805,null
2017-06-15 04:30:11,2457919.688,null
2017-06-15 06:16:21,2457919.761,null
2017-06-30 00:22:22,2457934.516,null
2017-06-30 04:36:07,2457934.692,null
2017-08-13 09:09:47,2457978.882,null
2017-08-13 10:55:57,2457978.956,null
2017-08-30 15:11:57,2457996.133,null
2017-08-30 16:58:42,2457996.207,null
2017-10-07 20:15:03,2458034.344,null
2017-10-07 22:01:48,2458034.418,null
2017-11-06 13:55:11,2458064.080,null
2017-11-06 15:41:55,2458064.154,null
2017-12-04 09:32:23,2458091.897,19.44
2017-12-04 13:46:21,2458092.074,null
2018-01-18 07:21:37,2458136.807,null
2018-01-18 09:07:58,2458136.881,untrusted
2018-01-18 13:22:07,2458137.057,null
2018-02-10 01:29:44,2458159.562,null
2018-02-10 03:16:10,2458159.636,untrusted
2018-03-20 19:07:26,2458198.297,null
2018-04-22 18:42:08,2458231.279,null
2018-04-22 20:28:53,2458231.353,null
2018-05-16 18:37:42,2458255.276,untrusted
2018-06-28 01:13:03,2458297.551,19.42
2018-07-11 19:19:33,2458311.305,19.34
2018-08-24 16:09:22,2458355.173,null
2018-08-24 17:55:32,2458355.247,null
2018-09-13 04:08:27,2458374.673,19.41
2018-09-13 05:55:26,2458374.747,null
2018-10-19 09:21:08,2458410.890,null
2018-10-19 11:07:53,2458410.964,null
2018-11-21 02:56:40,2458443.623,null
2018-11-21 04:43:24,2458443.697,null
2018-12-16 20:55:28,2458469.372,null
2018-12-16 22:42:13,2458469.446,null
2019-01-31 16:18:33,2458515.180,19.40
2019-01-31 20:32:15,2458515.356,null
2019-01-31 22:19:00,2458515.430,null
2019-02-25 04:24:11,2458539.683,null
2019-02-25 08:37:22,2458539.859,null
2019-04-01 14:16:25,2458575.095,null
2019-05-28 03:27:45,2458631.644,untrusted
2019-07-10 12:23:34,2458675.016,null
2019-07-10 14:09:44,2458675.090,19.43
2019-08-05 02:49:58,2458700.618,null
2019-08-05 04:36:21,2458700.692,19.43
2019-08-05 08:50:01,2458700.868,19.39
2019-08-30 23:19:32,2458726.472,null
2019-08-31 03:33:16,2458726.648,null
2019-10-05 23:01:07,2458762.459,19.53
2019-11-09 12:42:45,2458797.030,null
2019-11-09 14:29:30,2458797.104,null
2019-11-29 19:22:29,2458817.307,null
2019-11-29 21:08:35,2458817.381,19.52
2020-01-09 16:00:31,2458858.167,19.27
2020-01-09 17:47:32,2458858.241,null
2020-01-22 04:18:43,2458870.680,19.53
2020-01-22 06:05:17,2458870.754,untrusted
2020-03-03 00:57:45,2458911.540,null
2020-03-24 13:43:36,2458933.072,untrusted
2020-03-24 15:30:10,2458933.146,19.24
2020-04-27 21:25:14,2458967.393,18.06
2020-04-27 23:11:49,2458967.467,18.17

