Gaia20cds
#Date,JD,averagemag.
2014-08-07 05:48:33,2456876.742,19.48
2014-08-07 11:48:45,2456876.992,19.42
2014-08-07 13:35:19,2456877.066,19.45
2014-08-07 17:48:58,2456877.242,19.43
2014-08-07 19:35:32,2456877.316,19.44
2014-08-07 23:49:11,2456877.492,19.39
2014-08-08 01:35:45,2456877.566,19.42
2014-10-27 05:52:48,2456957.745,untrusted
2014-10-27 10:06:29,2456957.921,19.46
2014-10-27 11:53:03,2456957.995,untrusted
2014-10-27 16:06:44,2456958.171,19.52
2014-10-27 17:53:18,2456958.245,19.49
2014-11-06 22:15:41,2456968.428,19.49
2014-11-07 00:02:15,2456968.502,19.51
2014-11-07 04:15:56,2456968.678,19.52
2014-11-07 06:02:31,2456968.752,untrusted
2015-01-19 21:14:03,2457042.385,19.45
2015-01-19 23:01:03,2457042.459,null
2015-02-03 21:20:11,2457057.389,19.39
2015-02-03 23:06:46,2457057.463,19.41
2015-05-28 11:59:26,2457171.000,19.36
2015-11-04 19:00:55,2457331.292,19.31
2015-11-04 23:15:05,2457331.469,null
2015-11-05 01:01:11,2457331.542,19.35
2015-11-24 11:22:50,2457350.974,19.38
2015-11-24 13:09:25,2457351.048,19.42
2015-12-26 23:01:59,2457383.460,19.39
2015-12-27 00:48:33,2457383.534,19.31
2016-02-03 04:11:25,2457421.675,19.32
2016-02-03 05:57:59,2457421.749,19.32
2016-02-12 10:18:35,2457430.930,19.32
2016-02-12 12:05:38,2457431.004,null
2016-02-12 16:18:51,2457431.180,19.38
2016-05-19 13:00:05,2457528.042,19.36
2016-05-19 14:46:50,2457528.116,null
2016-06-11 08:41:15,2457550.862,19.32
2016-07-13 08:16:34,2457582.845,19.30
2016-11-14 02:11:30,2457706.591,19.57
2016-11-14 06:25:11,2457706.767,19.47
2016-12-08 18:24:53,2457731.267,19.58
2017-01-05 12:10:59,2457759.008,19.62
2017-01-05 13:57:34,2457759.082,19.59
2017-05-30 09:27:26,2457903.894,19.50
2017-06-26 09:13:23,2457930.884,null
2017-06-26 11:00:07,2457930.958,null
2017-07-24 21:02:05,2457959.376,19.31
2017-07-24 22:48:39,2457959.450,19.33
2017-11-24 20:58:43,2458082.374,19.18
2017-11-24 22:45:18,2458082.448,19.18
2017-12-23 02:46:57,2458110.616,19.22
2018-01-15 20:41:03,2458134.362,19.31
2018-04-23 11:33:00,2458231.981,19.45
2018-04-23 13:19:34,2458232.055,19.47
2018-04-23 17:33:28,2458232.232,null
2018-04-23 19:19:47,2458232.305,19.43
2018-04-23 23:33:26,2458232.482,19.38
2018-04-24 01:20:00,2458232.556,19.39
2018-04-27 01:22:30,2458235.557,19.50
2018-04-27 05:36:09,2458235.733,19.46
2018-04-27 07:22:43,2458235.807,19.43
2018-04-27 11:36:22,2458235.984,19.51
2018-04-27 13:22:56,2458236.058,19.47
2018-04-27 17:36:35,2458236.234,19.44
2018-04-27 19:23:09,2458236.308,19.49
2018-06-10 10:33:49,2458279.940,19.38
2018-07-11 23:57:41,2458311.498,19.39
2018-08-04 22:11:28,2458335.425,19.24
2018-08-04 23:58:02,2458335.499,19.27
2018-12-05 16:09:49,2458458.173,19.20
2018-12-05 17:56:24,2458458.248,19.23
2019-01-06 03:45:13,2458489.656,19.11
2019-01-25 17:33:07,2458509.231,null
2019-05-01 06:27:14,2458604.769,untrusted
2019-05-01 08:13:48,2458604.843,19.34
2019-05-13 18:32:59,2458617.273,19.40
2019-05-13 20:19:33,2458617.347,19.40
2019-06-21 17:41:23,2458656.237,null
2019-07-29 13:23:40,2458694.058,19.17
2019-07-29 15:10:13,2458694.132,19.24
2019-11-03 21:32:49,2458791.398,null
2019-11-04 01:46:30,2458791.574,19.42
2019-11-16 08:04:46,2458803.837,19.32
2019-11-16 09:51:21,2458803.911,19.32
2019-12-22 22:06:46,2458840.421,null
2019-12-22 23:53:19,2458840.495,19.27
2020-01-26 23:44:55,2458875.490,19.26
2020-01-27 01:31:29,2458875.564,19.23
2020-02-11 19:54:05,2458891.329,19.20
2020-02-12 00:07:46,2458891.505,untrusted
2020-02-12 01:54:20,2458891.579,untrusted
2020-02-12 06:08:01,2458891.756,19.24
2020-04-23 20:10:48,2458963.341,18.97
2020-04-24 02:11:01,2458963.591,18.91
2020-04-24 03:57:34,2458963.665,18.97
2020-04-24 08:11:14,2458963.841,18.99
2020-04-24 09:57:48,2458963.915,18.98
2020-05-05 22:09:57,2458975.424,18.84
2020-05-06 02:23:36,2458975.600,untrusted
2020-05-06 04:10:10,2458975.674,18.89
2020-05-06 08:23:49,2458975.850,18.86

